energy,scattering_angle,experimental_value,statistical_error,reaction_type,observable,systematic_error,normalization
128.500000,139.199997,    1.17700,  0.53800,NP,   AT  , 0.000, 1.000
128.500000,151.500000,    0.07800,  0.23900,NP,   AT  , 0.000, 1.000
128.500000,163.800003,    0.24200,  0.27700,NP,   AT  , 0.000, 1.000
220.000000, 97.559998,    0.06200,  0.26500,NP,   AT  , 0.030, 0.997
220.000000,105.980003,    0.01300,  0.10100,NP,   AT  , 0.030, 0.997
220.000000,115.900002,   -0.13800,  0.05800,NP,   AT  , 0.030, 0.997
220.000000,124.900002,    0.00200,  0.04300,NP,   AT  , 0.030, 0.997
220.000000,135.630005,    0.16300,  0.03600,NP,   AT  , 0.030, 0.997
220.000000,144.360001,    0.22800,  0.03300,NP,   AT  , 0.030, 0.997
220.000000,152.539993,    0.12700,  0.08100,NP,   AT  , 0.030, 0.997
260.000000,105.400002,   -0.39800,  0.19700,NP,   AT  , 0.030, 1.000
260.000000,112.500000,   -0.26500,  0.09100,NP,   AT  , 0.030, 1.000
260.000000,120.199997,   -0.01500,  0.06600,NP,   AT  , 0.030, 1.000
260.000000,128.100006,   -0.01800,  0.05400,NP,   AT  , 0.030, 1.000
260.000000,136.100006,    0.05300,  0.04800,NP,   AT  , 0.030, 1.000
260.000000,144.000000,    0.03800,  0.04700,NP,   AT  , 0.030, 1.000
260.000000,151.899994,    0.22000,  0.05500,NP,   AT  , 0.030, 1.000
260.000000,159.000000,    0.22800,  0.08600,NP,   AT  , 0.030, 1.000
260.000000,104.400002,   -0.22000,  0.11700,NP,   AT  , 0.030, 1.000
260.000000,112.300003,   -0.25800,  0.08900,NP,   AT  , 0.030, 1.000
260.000000,118.000000,   -0.25300,  0.17000,NP,   AT  , 0.030, 1.000
260.000000, 96.000000,   -0.61700,  0.19000,NP,   AT  , 0.024, 1.000
260.000000,104.000000,   -0.00700,  0.11800,NP,   AT  , 0.024, 1.000
260.000000,112.000000,   -0.25600,  0.09000,NP,   AT  , 0.024, 1.000
260.000000,120.000000,   -0.06300,  0.24600,NP,   AT  , 0.024, 1.000
260.000000,104.000000,   -0.32500,  0.15200,NP,   AT  , 0.024, 1.000
260.000000,112.000000,   -0.12400,  0.07200,NP,   AT  , 0.024, 1.000
260.000000,120.000000,   -0.15600,  0.05500,NP,   AT  , 0.024, 1.000
260.000000,128.000000,   -0.10500,  0.04900,NP,   AT  , 0.024, 1.000
260.000000,136.000000,    0.14200,  0.04600,NP,   AT  , 0.024, 1.000
260.000000,144.000000,    0.06100,  0.04700,NP,   AT  , 0.024, 1.000
260.000000,152.000000,    0.17100,  0.05500,NP,   AT  , 0.024, 1.000
260.000000,160.000000,    0.08800,  0.10100,NP,   AT  , 0.024, 1.000
315.000000, 80.000000,    0.13500,  0.36700,NP,   AT  , 0.019, 1.000
315.000000, 88.000000,   -0.31500,  0.13100,NP,   AT  , 0.019, 1.000
315.000000, 96.000000,   -0.24900,  0.09100,NP,   AT  , 0.019, 1.000
315.000000,104.000000,   -0.39300,  0.07300,NP,   AT  , 0.019, 1.000
315.000000,112.000000,   -0.31200,  0.06300,NP,   AT  , 0.019, 1.000
315.000000,120.000000,   -0.25100,  0.18600,NP,   AT  , 0.019, 1.000
