energy,scattering_angle,experimental_value,statistical_error,reaction_type,observable,systematic_error,normalization
 13.700000, 90.000000,    0.07800,  0.01400,NP,   AYY , 0.000, 1.000
 14.000000, 90.000000,    0.06000,  0.04000,NP,   AYY , 0.000, 1.000
 19.500000, 60.299999,    0.18400,  0.01600,NP,   AYY , 0.060, 1.000
 19.500000, 75.300003,    0.18500,  0.02100,NP,   AYY , 0.060, 1.000
 19.500000, 90.400002,    0.14500,  0.02200,NP,   AYY , 0.060, 1.000
 19.500000,105.400002,    0.14000,  0.02100,NP,   AYY , 0.060, 1.000
 19.500000,120.400002,    0.12300,  0.02100,NP,   AYY , 0.060, 1.000
 22.100000, 60.299999,    0.20400,  0.00900,NP,   AYY , 0.060, 1.000
 22.100000, 75.400002,    0.20300,  0.01200,NP,   AYY , 0.060, 1.000
 22.100000, 90.400002,    0.17500,  0.01300,NP,   AYY , 0.060, 1.000
 22.100000,105.400002,    0.18300,  0.01200,NP,   AYY , 0.060, 1.000
 22.100000,120.400002,    0.15000,  0.01000,NP,   AYY , 0.060, 1.000
 23.100000,130.000000,    0.13000,  0.04000,NP,   AYY , 0.000, 0.990
 23.100000,140.000000,    0.07400,  0.02400,NP,   AYY , 0.000, 0.990
 23.100000,150.000000,    0.05000,  0.02000,NP,   AYY , 0.000, 0.990
 23.100000,174.000000,   -0.01400, -0.01100,NP,   AYY , 0.000, 0.990
 25.000000, 60.400002,    0.23700,  0.00800,NP,   AYY , 0.060, 1.000
 25.000000, 75.400002,    0.24500,  0.01200,NP,   AYY , 0.060, 1.000
 25.000000, 90.500000,    0.22100,  0.01100,NP,   AYY , 0.060, 1.000
 25.000000,105.500000,    0.20400,  0.01000,NP,   AYY , 0.060, 1.000
 25.000000,120.500000,    0.15200,  0.00800,NP,   AYY , 0.060, 1.000
 27.400000, 60.400002,    0.23500,  0.01100,NP,   AYY , 0.060, 1.000
 27.400000, 75.500000,    0.21600,  0.01500,NP,   AYY , 0.060, 1.000
 27.400000, 90.500000,    0.24200,  0.01500,NP,   AYY , 0.060, 1.000
 27.400000,105.500000,    0.23200,  0.01400,NP,   AYY , 0.060, 1.000
 27.400000,120.500000,    0.15900,  0.01000,NP,   AYY , 0.060, 1.000
 29.900000, 60.400002,    0.25100,  0.01200,NP,   AYY , 0.060, 1.000
 29.900000, 75.500000,    0.22200,  0.01700,NP,   AYY , 0.060, 1.000
 29.900000, 90.500000,    0.26200,  0.01600,NP,   AYY , 0.060, 1.000
 29.900000,105.500000,    0.24700,  0.01500,NP,   AYY , 0.060, 1.000
 29.900000,120.599998,    0.16400,  0.01000,NP,   AYY , 0.060, 1.000
 32.900002, 60.500000,    0.29100,  0.01700,NP,   AYY , 0.060, 1.000
 32.900002, 75.500000,    0.27000,  0.02500,NP,   AYY , 0.060, 1.000
 32.900002, 90.599998,    0.31600,  0.02400,NP,   AYY , 0.060, 1.000
 32.900002,105.599998,    0.28700,  0.02200,NP,   AYY , 0.060, 1.000
 32.900002,120.599998,    0.22500,  0.01400,NP,   AYY , 0.060, 1.000
 35.799999, 60.500000,    0.31100,  0.02400,NP,   AYY , 0.060, 1.000
 35.799999, 75.599998,    0.29300,  0.03500,NP,   AYY , 0.060, 1.000
 35.799999, 90.599998,    0.30100,  0.03400,NP,   AYY , 0.060, 1.000
 35.799999,105.599998,    0.32500,  0.03200,NP,   AYY , 0.060, 1.000
 35.799999,120.599998,    0.25700,  0.02100,NP,   AYY , 0.060, 1.000
 39.700001, 60.599998,    0.32600,  0.03300,NP,   AYY , 0.060, 1.000
 39.700001, 75.599998,    0.31400,  0.04300,NP,   AYY , 0.060, 1.000
 39.700001, 90.699997,    0.32100,  0.04500,NP,   AYY , 0.060, 1.000
 39.700001,105.699997,    0.39700,  0.04500,NP,   AYY , 0.060, 1.000
 39.700001,120.699997,    0.25900,  0.03100,NP,   AYY , 0.060, 1.000
 50.000000,109.000000,    0.25000,  0.11000,NP,   AYY , 0.250, 1.340
 50.000000,130.000000,    0.18000,  0.08000,NP,   AYY , 0.250, 1.340
 50.000000,155.000000,    0.02000,  0.08000,NP,   AYY , 0.250, 1.340
 50.000000,174.000000,   -0.11000,  0.07000,NP,   AYY , 0.250, 1.340
 50.000000,108.000000,    0.24100,  0.07100,NP,   AYY , 0.078, 1.070
 50.000000,130.000000,    0.18900,  0.07200,NP,   AYY , 0.078, 1.070
 50.000000,156.000000,   -0.03700,  0.05100,NP,   AYY , 0.078, 1.070
 50.000000,174.000000,   -0.19400,  0.05400,NP,   AYY , 0.078, 1.070
 50.000000, 60.700001,    0.33800,  0.03700,NP,   AYY , 0.060, 1.000
 50.000000, 75.800003,    0.46300,  0.05100,NP,   AYY , 0.060, 1.000
 50.000000, 90.800003,    0.38200,  0.05300,NP,   AYY , 0.060, 1.000
 50.000000,105.800003,    0.44000,  0.06300,NP,   AYY , 0.060, 1.000
 50.000000,120.800003,    0.34100,  0.04500,NP,   AYY , 0.060, 1.000
178.000000,175.000000,   -0.65000,  0.22000,NP,   AYY , 0.080, 1.000
181.000000, 57.500000,    0.92800,  0.06200,NP,   AYY , 0.080, 0.970
181.000000, 64.599998,    0.78700,  0.03300,NP,   AYY , 0.080, 0.970
181.000000, 72.099998,    0.76100,  0.02200,NP,   AYY , 0.080, 0.970
181.000000, 79.900002,    0.68700,  0.02300,NP,   AYY , 0.080, 0.970
181.000000, 87.800003,    0.66600,  0.02200,NP,   AYY , 0.080, 0.970
181.000000, 95.800003,    0.63300,  0.02100,NP,   AYY , 0.080, 0.970
181.000000,103.800003,    0.65200,  0.02200,NP,   AYY , 0.080, 0.970
181.000000,111.900002,    0.68800,  0.02100,NP,   AYY , 0.080, 0.970
181.000000,119.599998,    0.70000,  0.02500,NP,   AYY , 0.080, 0.970
181.000000,126.099998,    0.59200,  0.08700,NP,   AYY , 0.080, 0.970
183.000000, 58.400002,    0.81300,  0.00900,NP,   AYY , 0.059, 1.000
183.000000, 63.099998,    0.79800,  0.00500,NP,   AYY , 0.059, 1.000
183.000000, 69.400002,    0.77400,  0.00400,NP,   AYY , 0.059, 1.000
183.000000, 75.699997,    0.73000,  0.00300,NP,   AYY , 0.059, 1.000
183.000000, 82.099998,    0.69300,  0.00300,NP,   AYY , 0.059, 1.000
183.000000, 88.500000,    0.66800,  0.00300,NP,   AYY , 0.059, 1.000
