energy,scattering_angle,experimental_value,statistical_error,reaction_type,observable,systematic_error,normalization
 67.500000,104.800003,    0.18470,  0.01520,NP,   AZZ , 0.060, 1.032
 67.500000,107.300003,    0.21200,  0.01600,NP,   AZZ , 0.060, 1.032
 67.500000,111.400002,    0.21720,  0.01070,NP,   AZZ , 0.060, 1.032
 67.500000,114.199997,    0.22120,  0.01510,NP,   AZZ , 0.060, 1.032
 67.500000,119.000000,    0.21000,  0.00980,NP,   AZZ , 0.060, 1.032
 67.500000,120.900002,    0.19560,  0.01360,NP,   AZZ , 0.060, 1.032
 67.500000,126.500000,    0.21370,  0.00870,NP,   AZZ , 0.060, 1.032
 67.500000,127.699997,    0.21160,  0.01280,NP,   AZZ , 0.060, 1.032
 67.500000,129.300003,    0.18780,  0.00810,NP,   AZZ , 0.060, 1.032
 67.500000,132.500000,    0.18200,  0.00910,NP,   AZZ , 0.060, 1.032
 67.500000,135.800003,    0.14590,  0.00630,NP,   AZZ , 0.060, 1.032
 67.500000,140.500000,    0.11950,  0.00890,NP,   AZZ , 0.060, 1.032
 67.500000,143.399994,    0.08970,  0.00580,NP,   AZZ , 0.060, 1.032
 67.500000,146.899994,    0.07590,  0.00840,NP,   AZZ , 0.060, 1.032
 67.500000,150.699997,    0.02110,  0.00490,NP,   AZZ , 0.060, 1.032
 67.500000,153.199997,   -0.01360,  0.00800,NP,   AZZ , 0.060, 1.032
 67.500000,156.000000,   -0.03930,  0.00450,NP,   AZZ , 0.060, 1.032
 67.500000,159.300003,   -0.07050,  0.00700,NP,   AZZ , 0.060, 1.032
 67.500000,162.199997,   -0.09650,  0.00580,NP,   AZZ , 0.060, 1.032
 67.500000,168.100006,   -0.14400,  0.00580,NP,   AZZ , 0.060, 1.032
183.000000,176.800003,   -0.45000,  0.12000,NP,   AZZ , 0.080, 1.000
219.000000,176.699997,   -0.55000,  0.07000,NP,   AZZ , 0.080, 1.000
260.000000,176.699997,   -0.59000,  0.04000,NP,   AZZ , 0.080, 1.000
260.000000, 86.000000,    0.44700,  0.14100,NP,   AZZ , 0.072, 1.000
260.000000, 90.000000,    0.60000,  0.04400,NP,   AZZ , 0.072, 1.000
260.000000, 94.000000,    0.61200,  0.03100,NP,   AZZ , 0.072, 1.000
260.000000, 98.000000,    0.69200,  0.02700,NP,   AZZ , 0.072, 1.000
260.000000,102.000000,    0.78000,  0.02500,NP,   AZZ , 0.072, 1.000
260.000000,106.000000,    0.79300,  0.02400,NP,   AZZ , 0.072, 1.000
260.000000,110.000000,    0.76500,  0.02300,NP,   AZZ , 0.072, 1.000
260.000000,114.000000,    0.78500,  0.02200,NP,   AZZ , 0.072, 1.000
260.000000,118.000000,    0.73600,  0.02800,NP,   AZZ , 0.072, 1.000
260.000000,102.000000,    0.78600,  0.04500,NP,   AZZ , 0.072, 1.000
260.000000,106.000000,    0.77800,  0.02900,NP,   AZZ , 0.072, 1.000
260.000000,110.000000,    0.75700,  0.02700,NP,   AZZ , 0.072, 1.000
260.000000,114.000000,    0.70500,  0.02600,NP,   AZZ , 0.072, 1.000
260.000000,118.000000,    0.74900,  0.02500,NP,   AZZ , 0.072, 1.000
260.000000,122.000000,    0.68000,  0.02300,NP,   AZZ , 0.072, 1.000
260.000000,126.000000,    0.68600,  0.02200,NP,   AZZ , 0.072, 1.000
260.000000,130.000000,    0.60800,  0.02200,NP,   AZZ , 0.072, 1.000
260.000000,134.000000,    0.49000,  0.02200,NP,   AZZ , 0.072, 1.000
260.000000,138.000000,    0.48900,  0.02100,NP,   AZZ , 0.072, 1.000
260.000000,142.000000,    0.41900,  0.02100,NP,   AZZ , 0.072, 1.000
260.000000,146.000000,    0.31900,  0.02300,NP,   AZZ , 0.072, 1.000
260.000000,150.000000,    0.21700,  0.02500,NP,   AZZ , 0.072, 1.000
260.000000,154.000000,    0.06900,  0.02700,NP,   AZZ , 0.072, 1.000
260.000000,158.000000,   -0.07800,  0.03000,NP,   AZZ , 0.072, 1.000
260.000000,162.000000,   -0.23300,  0.05200,NP,   AZZ , 0.072, 1.000
299.000000, 83.900002,    0.27100,  0.11100,NP,   AZZ , 0.030, 1.000
299.000000, 88.919998,    0.43600,  0.07900,NP,   AZZ , 0.030, 1.000
299.000000, 95.089996,    0.56400,  0.07900,NP,   AZZ , 0.030, 1.000
299.000000, 99.970001,    0.50000,  0.07500,NP,   AZZ , 0.030, 1.000
299.000000,107.139999,    0.71400,  0.07900,NP,   AZZ , 0.030, 1.000
299.000000,112.300003,    0.69200,  0.07100,NP,   AZZ , 0.030, 1.000
299.000000,119.470001,    0.61400,  0.06100,NP,   AZZ , 0.030, 1.000
299.000000,123.779999,    0.60400,  0.06400,NP,   AZZ , 0.030, 1.000
299.000000,130.089996,    0.62100,  0.07900,NP,   AZZ , 0.030, 1.000
299.000000,136.679993,    0.67100,  0.18200,NP,   AZZ , 0.030, 1.000
299.000000,155.330002,   -0.05000,  0.15000,NP,   AZZ , 0.030, 1.000
300.000000,176.699997,   -0.64000,  0.04000,NP,   AZZ , 0.080, 1.000
312.000000, 50.200001,   -0.26700,  0.18800,NP,   AZZ , 0.040, 1.000
312.000000, 54.099998,   -0.24900,  0.17100,NP,   AZZ , 0.040, 1.000
312.000000, 58.099998,   -0.18300,  0.14300,NP,   AZZ , 0.040, 1.000
312.000000, 62.099998,   -0.20400,  0.11500,NP,   AZZ , 0.040, 1.000
312.000000, 65.900002,    0.13000,  0.12400,NP,   AZZ , 0.040, 1.000
312.000000, 70.000000,    0.12600,  0.14200,NP,   AZZ , 0.040, 1.000
312.000000, 74.099998,    0.17600,  0.11800,NP,   AZZ , 0.040, 1.000
312.000000, 78.000000,    0.18500,  0.10000,NP,   AZZ , 0.040, 1.000
312.000000, 82.000000,    0.27200,  0.09900,NP,   AZZ , 0.040, 1.000
312.000000, 86.000000,    0.47700,  0.11300,NP,   AZZ , 0.040, 1.000
312.000000, 89.599998,    0.76100,  0.12500,NP,   AZZ , 0.040, 1.000
315.000000, 78.000000,    0.31500,  0.05700,NP,   AZZ , 0.071, 1.000
315.000000, 82.000000,    0.29300,  0.02700,NP,   AZZ , 0.071, 1.000
