energy,scattering_angle,experimental_value,statistical_error,reaction_type,observable,systematic_error,normalization
212.000000, 40.000000,    0.79000,  0.10000,NP,   D   , 0.000, 1.000
212.000000, 50.000000,    0.90000,  0.10000,NP,   D   , 0.000, 1.000
212.000000, 60.000000,    0.82000,  0.09000,NP,   D   , 0.000, 1.000
212.000000, 70.000000,    1.01000,  0.14000,NP,   D   , 0.000, 1.000
212.000000, 80.000000,    1.06000,  0.45000,NP,   D   , 0.000, 1.000
260.000000, 88.000000,    0.78300,  0.15900,NP,   D   , 0.024, 1.000
260.000000, 96.000000,    0.44800,  0.03500,NP,   D   , 0.024, 1.000
260.000000,104.000000,    0.22000,  0.02100,NP,   D   , 0.024, 1.000
260.000000,112.000000,    0.02100,  0.01600,NP,   D   , 0.024, 1.000
260.000000,120.000000,   -0.15100,  0.04500,NP,   D   , 0.024, 1.000
260.000000,104.000000,    0.20200,  0.03500,NP,   D   , 0.024, 1.000
260.000000,112.000000,   -0.04300,  0.01600,NP,   D   , 0.024, 1.000
260.000000,120.000000,   -0.18600,  0.01200,NP,   D   , 0.024, 1.000
260.000000,128.000000,   -0.30900,  0.01100,NP,   D   , 0.024, 1.000
260.000000,136.000000,   -0.39200,  0.01000,NP,   D   , 0.024, 1.000
260.000000,144.000000,   -0.38800,  0.01000,NP,   D   , 0.024, 1.000
260.000000,152.000000,   -0.26200,  0.01200,NP,   D   , 0.024, 1.000
260.000000,160.000000,   -0.01300,  0.02300,NP,   D   , 0.024, 1.000
315.000000, 80.000000,    0.86500,  0.09400,NP,   D   , 0.019, 1.000
315.000000, 88.000000,    0.72800,  0.03200,NP,   D   , 0.019, 1.000
315.000000, 96.000000,    0.56000,  0.02100,NP,   D   , 0.019, 1.000
315.000000,104.000000,    0.33900,  0.01700,NP,   D   , 0.019, 1.000
315.000000,112.000000,    0.09800,  0.01500,NP,   D   , 0.019, 1.000
315.000000,120.000000,   -0.10700,  0.04500,NP,   D   , 0.019, 1.000
315.000000,104.000000,    0.29100,  0.01900,NP,   D   , 0.019, 1.000
315.000000,112.000000,    0.08400,  0.01300,NP,   D   , 0.019, 1.000
315.000000,120.000000,   -0.12100,  0.01200,NP,   D   , 0.019, 1.000
315.000000,128.000000,   -0.31600,  0.01100,NP,   D   , 0.019, 1.000
315.000000,136.000000,   -0.42200,  0.01000,NP,   D   , 0.019, 1.000
315.000000,144.000000,   -0.46200,  0.01100,NP,   D   , 0.019, 1.000
315.000000,152.000000,   -0.37700,  0.01200,NP,   D   , 0.019, 1.000
315.000000,162.000000,   -0.15100,  0.02300,NP,   D   , 0.019, 1.000
