energy,scattering_angle,experimental_value,statistical_error,reaction_type,observable,systematic_error,normalization
260.000000, 88.000000,    0.13100,  0.23600,NP,   D0SK, 0.024, 1.000
260.000000, 96.000000,    0.29400,  0.05400,NP,   D0SK, 0.024, 1.000
260.000000,104.000000,    0.22100,  0.03600,NP,   D0SK, 0.024, 1.000
260.000000,112.000000,    0.26800,  0.02700,NP,   D0SK, 0.024, 1.000
260.000000,120.000000,    0.28500,  0.06800,NP,   D0SK, 0.024, 1.000
260.000000,104.000000,    0.27900,  0.03800,NP,   D0SK, 0.024, 1.000
260.000000,112.000000,    0.28400,  0.01700,NP,   D0SK, 0.024, 1.000
260.000000,120.000000,    0.26100,  0.01300,NP,   D0SK, 0.024, 1.000
260.000000,128.000000,    0.26800,  0.01100,NP,   D0SK, 0.024, 1.000
260.000000,136.000000,    0.22500,  0.01100,NP,   D0SK, 0.024, 1.000
260.000000,144.000000,    0.20300,  0.01100,NP,   D0SK, 0.024, 1.000
260.000000,152.000000,    0.16800,  0.01300,NP,   D0SK, 0.024, 1.000
260.000000,160.000000,    0.10900,  0.02300,NP,   D0SK, 0.024, 1.000
315.000000, 80.000000,    0.14900,  0.14100,NP,   D0SK, 0.019, 1.000
315.000000, 88.000000,    0.22100,  0.04600,NP,   D0SK, 0.019, 1.000
315.000000, 96.000000,    0.37200,  0.03100,NP,   D0SK, 0.019, 1.000
315.000000,104.000000,    0.31500,  0.02500,NP,   D0SK, 0.019, 1.000
315.000000,112.000000,    0.36000,  0.02200,NP,   D0SK, 0.019, 1.000
315.000000,120.000000,    0.32700,  0.05300,NP,   D0SK, 0.019, 1.000
315.000000,104.000000,    0.32500,  0.02000,NP,   D0SK, 0.019, 1.000
315.000000,112.000000,    0.33300,  0.01400,NP,   D0SK, 0.019, 1.000
315.000000,120.000000,    0.33600,  0.01200,NP,   D0SK, 0.019, 1.000
315.000000,128.000000,    0.29400,  0.01100,NP,   D0SK, 0.019, 1.000
315.000000,136.000000,    0.25400,  0.01100,NP,   D0SK, 0.019, 1.000
315.000000,144.000000,    0.22000,  0.01100,NP,   D0SK, 0.019, 1.000
315.000000,152.000000,    0.16800,  0.01300,NP,   D0SK, 0.019, 1.000
315.000000,162.000000,    0.12400,  0.02200,NP,   D0SK, 0.019, 1.000
