energy,scattering_angle,experimental_value,statistical_error,reaction_type,observable,systematic_error,normalization
  2.720000,130.000000,  195.56000,  7.23600,NP,   DSG , 0.000, 1.009
  2.720000,150.000000,  177.77000, 23.62000,NP,   DSG , 0.000, 1.009
  3.010000,130.000000,  184.05000,  6.81000,NP,   DSG , 0.000, 1.023
  3.010000,150.000000,  153.67999, 18.03700,NP,   DSG , 0.000, 1.023
  3.330000,130.000000,  172.92000,  6.39800,NP,   DSG , 0.000, 1.011
  3.330000,110.000000,  174.30000, 11.63500,NP,   DSG , 0.000, 1.011
  3.330000,150.000000,  154.94000, 14.81500,NP,   DSG , 0.000, 1.011
  3.690000,130.000000,  162.02000,  5.99500,NP,   DSG , 0.000, 1.023
  3.690000, 95.000000,  156.35001, 14.78800,NP,   DSG , 0.000, 1.023
  3.690000,110.000000,  158.13000,  8.85200,NP,   DSG , 0.000, 1.023
  3.690000,150.000000,  146.95000, 11.70800,NP,   DSG , 0.000, 1.023
  4.010000,130.000000,  153.49001,  5.67900,NP,   DSG , 0.000, 1.011
  4.010000, 95.000000,  149.81000, 15.17000,NP,   DSG , 0.000, 1.011
  4.010000,110.000000,  152.25999,  8.91300,NP,   DSG , 0.000, 1.011
  4.010000,150.000000,  145.20000, 11.06200,NP,   DSG , 0.000, 1.011
  4.340000,130.000000,  145.62000,  5.38800,NP,   DSG , 0.000, 1.021
  4.340000, 95.000000,  143.28999,  6.96300,NP,   DSG , 0.000, 1.021
  4.340000,110.000000,  141.69000,  7.51800,NP,   DSG , 0.000, 1.021
  4.340000,150.000000,  131.49001,  9.24700,NP,   DSG , 0.000, 1.021
  4.650000,130.000000,  138.94000,  5.14100,NP,   DSG , 0.000, 1.030
  4.650000, 95.000000,  134.78000, 10.68300,NP,   DSG , 0.000, 1.030
  4.650000,110.000000,  135.33000,  6.69600,NP,   DSG , 0.000, 1.030
  4.650000,150.000000,  126.16000,  7.91500,NP,   DSG , 0.000, 1.030
  4.910000,130.000000,  133.81000,  4.95100,NP,   DSG , 0.000, 1.036
  4.910000, 95.000000,  125.51000,  8.47700,NP,   DSG , 0.000, 1.036
  4.910000,110.000000,  127.92000,  5.79600,NP,   DSG , 0.000, 1.036
  4.910000,150.000000,  126.98000,  6.92300,NP,   DSG , 0.000, 1.036
  5.100000,130.000000,  130.28999,  4.82100,NP,   DSG , 0.000, 1.056
  5.100000, 95.000000,  115.04000,  8.00100,NP,   DSG , 0.000, 1.056
  5.100000,110.000000,  119.73000,  5.49900,NP,   DSG , 0.000, 1.056
  5.100000,150.000000,  127.29000,  7.02400,NP,   DSG , 0.000, 1.056
  5.240000,130.000000,  127.81000,  4.72900,NP,   DSG , 0.000, 1.062
  5.240000, 95.000000,  108.89000,  7.12700,NP,   DSG , 0.000, 1.062
  5.240000,110.000000,  118.10000,  5.26600,NP,   DSG , 0.000, 1.062
  5.240000,150.000000,  124.10000,  6.59100,NP,   DSG , 0.000, 1.062
 10.000000, 59.869999,   73.98000,  1.24000,NP,   DSG , 0.008, 1.000
 10.000000, 83.849998,   74.59000,  0.46000,NP,   DSG , 0.008, 1.000
 10.000000,107.860001,   76.22000,  0.42000,NP,   DSG , 0.008, 1.000
 10.000000,131.889999,   77.07000, -0.40000,NP,   DSG , 0.008, 1.000
 10.000000,155.940002,   77.81000,  0.39000,NP,   DSG , 0.008, 1.000
 10.000000,180.000000,   78.95000,  0.66000,NP,   DSG , 0.008, 1.000
 14.000000, 80.000000,   54.17998,  1.28000,NP,   DSG , 0.016, 1.000
 14.000000, 90.000000,   54.87000,  1.31000,NP,   DSG , 0.016, 1.000
 14.000000,100.000000,   54.06998,  1.10000,NP,   DSG , 0.016, 1.000
 14.100000, 11.900000,   51.39998,  4.00000,NP,   DSG , 9.000, 1.000
 14.100000, 14.000000,   56.39998,  4.00000,NP,   DSG , 9.000, 1.000
 14.100000, 16.200001,   53.89998,  4.00000,NP,   DSG , 9.000, 1.000
 14.100000, 18.000000,   50.29999,  4.00000,NP,   DSG , 9.000, 1.000
 14.100000, 20.000000,   55.09998,  4.00000,NP,   DSG , 9.000, 1.000
 14.100000, 21.900000,   50.70000,  4.00000,NP,   DSG , 9.000, 1.000
 14.100000, 23.900000,   53.09998,  4.00000,NP,   DSG , 9.000, 1.000
 14.100000, 25.900000,   52.59998,  4.00000,NP,   DSG , 9.000, 1.000
 14.100000, 28.100000,   52.39998,  4.00000,NP,   DSG , 9.000, 1.000
 14.100000, 30.000000,   53.89998,  4.00000,NP,   DSG , 9.000, 1.000
 14.100000, 32.000000,   52.79999,  4.00000,NP,   DSG , 9.000, 1.000
 14.100000, 34.000000,   56.39998,  4.00000,NP,   DSG , 9.000, 1.000
 14.100000, 35.099998,   55.09998,  4.00000,NP,   DSG , 9.000, 1.000
 14.100000, 36.200001,   52.39998,  4.00000,NP,   DSG , 9.000, 1.000
 14.100000, 38.000000,   53.29999,  4.00000,NP,   DSG , 9.000, 1.000
 14.100000, 92.800003,   52.79999,  4.00000,NP,   DSG , 9.000, 1.000
 14.100000, 70.000000,   52.39998,  3.00000,NP,   DSG , 0.040, 1.041
 14.100000, 90.000000,   53.00000,  2.50000,NP,   DSG , 0.040, 1.041
 14.100000,120.000000,   54.00000,  2.00000,NP,   DSG , 0.040, 1.041
 14.100000,140.000000,   55.50000,  2.00000,NP,   DSG , 0.040, 1.041
 14.100000,160.000000,   55.00000,  1.00000,NP,   DSG , 0.040, 1.041
 14.100000,173.000000,   56.00000,  1.00000,NP,   DSG , 0.040, 1.041
 14.100000, 48.000000,   50.70000,  2.30000,NP,   DSG , 9.000, 1.000
 14.100000, 66.900002,   49.29999,  2.50000,NP,   DSG , 9.000, 1.000
 14.100000, 84.099998,   53.29999,  2.40000,NP,   DSG , 9.000, 1.000
 14.100000,100.500000,   51.29999,  2.40000,NP,   DSG , 9.000, 1.000
 14.100000,114.699997,   51.79999,  1.80000,NP,   DSG , 9.000, 1.000
 14.100000,131.699997,   53.29999, -2.00000,NP,   DSG , 9.000, 1.000
 14.100000,146.600006,   54.00000,  1.90000,NP,   DSG , 9.000, 1.000
 14.100000,154.500000,   54.70000,  1.40000,NP,   DSG , 9.000, 1.000
 14.100000, 90.000000,  102.20000,  3.20000,NP,   DSG ,10.000, 0.546
 14.100000,110.000000,   97.50000,  3.40000,NP,   DSG ,10.000, 0.546
 14.100000,130.000000,  103.10000,  3.80000,NP,   DSG ,10.000, 0.546
 14.100000,150.000000,  108.50000,  4.90000,NP,   DSG ,10.000, 0.546
 14.100000,170.000000,  105.50000,  5.80000,NP,   DSG ,10.000, 0.546
 14.100000, 89.000000,   54.99997,  0.70000,NP,   DSG , 0.007, 0.992
 14.100000,118.000000,   56.20000,  0.60000,NP,   DSG , 0.007, 0.992
 14.100000,146.000000,   58.29999,  0.60000,NP,   DSG , 0.007, 0.992
 14.100000,165.000000,   59.09998,  0.60000,NP,   DSG , 0.007, 0.992
 14.100000, 52.500000,   52.59998,  1.50000,NP,   DSG , 0.000, 1.000
 14.100000, 62.500000,   52.29999,  1.40000,NP,   DSG , 0.000, 1.000
 14.100000, 80.400002,   54.39998,  1.20000,NP,   DSG , 0.000, 1.000
 14.100000,100.300003,   54.59998,  1.10000,NP,   DSG , 0.000, 1.000
 14.100000,120.099998,   55.89998,  1.00000,NP,   DSG , 0.000, 1.000
 14.100000,139.800003,   57.29999,  1.00000,NP,   DSG , 0.000, 1.000
 14.100000,159.199997,   58.20000,  0.90000,NP,   DSG , 0.000, 1.000
 14.100000,172.000000,   59.89998,  1.00000,NP,   DSG , 0.000, 1.000
 14.110000, 89.699997,   55.32000,  0.97000,NP,   DSG , 0.071, 1.000
 14.110000,103.739998,   53.71000,  0.95000,NP,   DSG , 0.071, 1.000
 14.110000,117.739998,   56.39000,  0.92000,NP,   DSG , 0.071, 1.000
 14.110000,131.750000,   55.54000,  0.86000,NP,   DSG , 0.071, 1.000
 14.110000,143.750000,   57.62000,  1.01000,NP,   DSG , 0.071, 1.000
 14.110000,155.710007,   56.92000,  1.01000,NP,   DSG , 0.071, 1.000
 15.700000, 56.599998,   52.04999,  3.10000,NP,   DSG , 9.000, 1.000
 15.700000, 63.299999,   46.20000,  2.75000,NP,   DSG , 9.000, 1.000
 15.700000, 69.500000,   46.00000,  2.75000,NP,   DSG , 9.000, 1.000
 15.700000, 75.500000,   52.20000,  2.55000,NP,   DSG , 9.000, 1.000
 15.700000, 81.400002,   52.70000,  2.60000,NP,   DSG , 9.000, 1.000
 15.700000, 87.099998,   51.04999,  2.40000,NP,   DSG , 9.000, 1.000
 15.700000, 92.900002,   49.14998,  2.50000,NP,   DSG , 9.000, 1.000
 15.700000, 98.599998,   47.89998,  2.25000,NP,   DSG , 9.000, 1.000
 15.700000,104.500000,   48.89998,  2.30000,NP,   DSG , 9.000, 1.000
 15.700000,110.500000,   51.64998,  2.45000,NP,   DSG , 9.000, 1.000
 15.700000,116.800003,   53.04999,  3.05000,NP,   DSG , 9.000, 1.000
 15.700000,123.400002,   52.39998,  2.45000,NP,   DSG , 9.000, 1.000
 15.700000,130.500000,   53.59998,  2.50000,NP,   DSG , 9.000, 1.000
 15.700000,138.600006,   54.34998,  2.55000,NP,   DSG , 9.000, 1.000
 15.700000,148.199997,   50.20000,  2.45000,NP,   DSG , 9.000, 1.000
 15.700000,161.800003,   53.79999,  2.50000,NP,   DSG , 9.000, 1.000
 17.900000, 80.000000,   38.39998,  3.00000,NP,   DSG , 0.019, 1.038
 17.900000, 90.000000,   42.29999,  1.00000,NP,   DSG , 0.019, 1.038
 17.900000,100.000000,   40.59998,  1.40000,NP,   DSG , 0.019, 1.038
 17.900000,110.000000,   43.29999,  1.20000,NP,   DSG , 0.019, 1.038
 17.900000,120.000000,   39.39998,  1.10000,NP,   DSG , 0.019, 1.038
 17.900000,130.000000,   43.20000,  1.10000,NP,   DSG , 0.019, 1.038
 17.900000,140.000000,   43.29999,  1.20000,NP,   DSG , 0.019, 1.038
 17.900000,150.000000,   43.99997,  1.30000,NP,   DSG , 0.019, 1.038
 17.900000,160.000000,   44.99997,  1.10000,NP,   DSG , 0.019, 1.038
 17.900000,170.000000,   43.99997,  1.30000,NP,   DSG , 0.019, 1.038
 17.900000,175.000000,   44.99997,  1.00000,NP,   DSG , 0.019, 1.038
 22.200001,104.599998,   34.00000,  0.19000,NP,   DSG , 0.100, 1.002
 22.200001,119.599998,   34.92998,  0.17000,NP,   DSG , 0.100, 1.002
 22.200001,134.699997,   35.96999,  0.18000,NP,   DSG , 0.100, 1.002
 22.200001,149.800003,   36.92000,  0.19000,NP,   DSG , 0.100, 1.002
 22.200001,164.899994,   38.26999,  0.17000,NP,   DSG , 0.100, 1.002
 22.400000, 28.379999,   33.20000,  1.60000,NP,   DSG , 0.020, 1.000
 22.400000, 38.439999,   33.59998,  0.90000,NP,   DSG , 0.020, 1.000
 22.400000, 49.090000,   35.59998,  1.40000,NP,   DSG , 0.020, 1.000
 22.400000, 59.340000,   33.00000,  0.50000,NP,   DSG , 0.020, 1.000
 22.400000, 64.349998,   32.59998,  0.50000,NP,   DSG , 0.020, 1.000
 22.400000, 69.370003,   32.59998,  0.50000,NP,   DSG , 0.020, 1.000
 22.400000, 74.389999,   32.09998,  0.50000,NP,   DSG , 0.020, 1.000
 22.400000, 79.199997,   33.39998,  0.50000,NP,   DSG , 0.020, 1.000
 22.400000, 89.220001,   33.50000,  0.40000,NP,   DSG , 0.020, 1.000
 22.400000, 99.029999,   34.00000,  0.40000,NP,   DSG , 0.020, 1.000
 22.400000,118.830002,   33.29999,  0.80000,NP,   DSG , 0.020, 1.000
 22.500000, 65.000000,   33.29999,  1.90000,NP,   DSG , 9.000, 1.000
 22.500000, 75.000000,   32.79999,  1.50000,NP,   DSG , 9.000, 1.000
 22.500000, 85.000000,   32.70000,  1.20000,NP,   DSG , 9.000, 1.000
 22.500000, 95.000000,   33.20000,  1.20000,NP,   DSG , 9.000, 1.000
 22.500000,105.000000,   32.20000,  1.20000,NP,   DSG , 9.000, 1.000
 22.500000,115.000000,   32.39998,  1.30000,NP,   DSG , 9.000, 1.000
 22.500000,125.000000,   34.70000,  1.40000,NP,   DSG , 9.000, 1.000
 22.500000,135.000000,   35.59998,  1.50000,NP,   DSG , 9.000, 1.000
 22.500000,145.000000,   37.00000,  1.70000,NP,   DSG , 9.000, 1.000
 22.500000,155.000000,   34.00000,  1.90000,NP,   DSG , 9.000, 1.000
 22.500000,165.000000,   34.29999,  2.60000,NP,   DSG , 9.000, 1.000
 22.500000,175.000000,   35.89998,  3.70000,NP,   DSG , 9.000, 1.000
 22.500000,  7.000000,   32.79999,  1.41900,NP,   DSG , 0.033, 1.000
 22.500000, 14.000000,   32.59998,  1.77500,NP,   DSG , 0.033, 1.000
 22.500000, 21.000000,   35.59998,  2.13000,NP,   DSG , 0.033, 1.000
 22.500000, 31.000000,   34.39998,  1.79700,NP,   DSG , 0.033, 1.000
 22.500000, 41.000000,   32.79999,  2.14100,NP,   DSG , 0.033, 1.000
 22.500000, 51.000000,   35.50000,  2.46500,NP,   DSG , 0.033, 1.000
 23.700001, 53.130001,   31.00000,  0.70000,NP,   DSG , 0.020, 1.000
 23.700001, 69.790001,   30.39998,  0.60000,NP,   DSG , 0.020, 1.000
 23.700001, 99.250000,   31.09998,  0.50000,NP,   DSG , 0.020, 1.000
 24.000000, 89.000000,   30.29999,  0.46000,NP,   DSG , 0.005, 1.000
 24.000000,118.349998,   31.00000,  0.57000,NP,   DSG , 0.005, 1.000
 24.000000,146.399994,   32.79999,  0.51000,NP,   DSG , 0.005, 1.000
 24.000000,164.699997,   34.39998,  0.43000,NP,   DSG , 0.005, 1.000
 24.000000, 71.300003,   30.39998,  0.70000,NP,   DSG , 9.000, 0.989
 24.000000, 88.699997,   31.39998,  0.80000,NP,   DSG , 9.000, 0.989
 24.000000,103.000000,   31.00000,  1.20000,NP,   DSG , 9.000, 0.989
 24.000000,157.899994,   34.39998,  0.70000,NP,   DSG , 9.000, 0.989
 24.000000, 39.299999,   31.29999,  0.50000,NP,   DSG , 0.000, 1.000
 24.000000, 50.500000,   30.70000,  0.60000,NP,   DSG , 0.000, 1.000
 25.000000,104.599998,   29.39000,  0.16000,NP,   DSG , 0.100, 1.010
 25.000000,119.599998,   30.21999,  0.14000,NP,   DSG , 0.100, 1.010
 25.000000,134.699997,   31.17000,  0.15000,NP,   DSG , 0.100, 1.010
 25.000000,149.800003,   32.78000,  0.16000,NP,   DSG , 0.100, 1.010
 25.000000,164.899994,   34.01999,  0.15000,NP,   DSG , 0.100, 1.010
 25.299999,180.000000,   34.59998,  0.90000,NP,   DSG , 0.000, 1.000
 25.799999, 20.150000,   29.96999,  0.90000,NP,   DSG , 0.030, 1.013
 25.799999, 30.219999,   29.28998,  0.88000,NP,   DSG , 0.030, 1.013
 25.799999, 40.279999,   27.81000,  0.83000,NP,   DSG , 0.030, 1.013
 25.799999, 50.340000,   27.37000,  0.82000,NP,   DSG , 0.030, 1.013
 25.799999, 60.380001,   27.20998,  0.82000,NP,   DSG , 0.030, 1.013
 25.799999, 70.419998,   27.01999,  0.81000,NP,   DSG , 0.030, 1.013
 25.799999, 80.449997,   27.93999,  0.84000,NP,   DSG , 0.030, 1.013
 25.799999, 90.470001,   28.42000,  0.85000,NP,   DSG , 0.030, 1.013
 25.799999, 89.540001,   28.42000,  0.93000,NP,   DSG , 0.030, 1.006
 25.799999, 99.540001,   28.96999,  0.91000,NP,   DSG , 0.030, 1.006
 25.799999,119.580002,   29.09000,  0.54000,NP,   DSG , 0.030, 1.006
 25.799999,129.059998,   30.06000,  0.33000,NP,   DSG , 0.030, 1.006
 25.799999,135.600006,   29.98996,  0.61000,NP,   DSG , 0.030, 1.006
 25.799999,139.600006,   30.56998,  0.38000,NP,   DSG , 0.030, 1.006
 25.799999,159.559998,   33.15999,  0.47000,NP,   DSG , 0.030, 1.006
 25.799999,178.000000,   32.70998,  1.31000,NP,   DSG , 0.030, 1.006
 27.100000, 40.290001,   26.70000,  2.10000,NP,   DSG , 0.020, 1.000
 27.100000, 46.330002,   25.79999,  1.10000,NP,   DSG , 0.020, 1.000
 27.100000, 50.349998,   24.79999,  1.10000,NP,   DSG , 0.020, 1.000
 27.100000, 57.189999,   26.59998,  1.60000,NP,   DSG , 0.020, 1.000
 27.100000, 60.400002,   27.29999,  1.20000,NP,   DSG , 0.020, 1.000
 27.100000, 66.830002,   27.09998,  1.70000,NP,   DSG , 0.020, 1.000
 27.100000, 70.440002,   26.50000,  1.10000,NP,   DSG , 0.020, 1.000
 27.100000, 80.470001,   27.00000,  2.00000,NP,   DSG , 0.020, 1.000
 27.100000, 90.489998,   25.79999,  1.10000,NP,   DSG , 0.020, 1.000
 27.100000,100.500000,   26.00000,  1.10000,NP,   DSG , 0.020, 1.000
 27.100000,105.699997,   26.20000,  1.60000,NP,   DSG , 0.020, 1.000
 27.100000,110.500000,   28.39998,  1.40000,NP,   DSG , 0.020, 1.000
 27.200001, 71.300003,   26.09998,  0.70000,NP,   DSG , 9.000, 0.995
 27.200001, 88.599998,   26.59998,  0.40000,NP,   DSG , 9.000, 0.995
 27.200001,111.400002,   27.39998,  1.30000,NP,   DSG , 9.000, 0.995
 27.200001,117.000000,   28.29999,  1.00000,NP,   DSG , 9.000, 0.995
 27.200001,157.800003,   30.79999,  0.50000,NP,   DSG , 9.000, 0.995
 27.400000,104.599998,   26.25998,  0.18000,NP,   DSG , 0.100, 1.008
 27.400000,119.599998,   27.17000,  0.15000,NP,   DSG , 0.100, 1.008
 27.400000,134.699997,   28.50000,  0.17000,NP,   DSG , 0.100, 1.008
 27.400000,149.800003,   29.95998,  0.18000,NP,   DSG , 0.100, 1.008
 27.400000,164.899994,   31.21999,  0.16000,NP,   DSG , 0.100, 1.008
 27.500000,  7.000000,   28.50000,  1.30000,NP,   DSG , 0.030, 1.000
 27.500000, 14.000000,   28.50000,  1.50000,NP,   DSG , 0.030, 1.000
 27.500000, 21.000000,   29.59998,  1.80000,NP,   DSG , 0.030, 1.000
 27.500000, 31.000000,   28.29999,  1.60000,NP,   DSG , 0.030, 1.000
 27.500000, 41.000000,   27.50000,  1.90000,NP,   DSG , 0.030, 1.000
