energy,scattering_angle,experimental_value,statistical_error,reaction_type,observable,systematic_error,normalization
 15.800000,132.399994,    0.16000,  0.02000,NP,   DT  , 0.000, 1.000
 17.400000,132.899994,    0.15500,  0.02600,NP,   DT  , 0.055, 1.000
 25.500000,131.100006,    0.17400,  0.01900,NP,   DT  , 0.000, 1.000
 50.000000,179.000000,   -0.11000,  0.25000,NP,   DT  , 0.000, 1.000
128.000000,124.000000,   -0.11700,  0.16500,NP,   DT  , 0.000, 1.020
128.000000,133.000000,   -0.25200,  0.15000,NP,   DT  , 0.000, 1.020
128.000000,142.000000,   -0.03500,  0.14800,NP,   DT  , 0.000, 1.020
128.000000,150.000000,   -0.01300,  0.11700,NP,   DT  , 0.000, 1.020
128.000000,160.000000,    0.17400,  0.14600,NP,   DT  , 0.000, 1.020
128.000000,170.000000,   -0.28300,  0.20900,NP,   DT  , 0.000, 1.000
197.000000,147.399994,    0.09500,  0.06800,NP,   DT  , 0.000, 1.000
197.000000,138.600006,   -0.01400,  0.07100,NP,   DT  , 0.000, 1.000
197.000000,126.900002,    0.05800,  0.10300,NP,   DT  , 0.000, 1.000
220.000000, 98.300003,    0.40200,  0.16000,NP,   DT  , 0.030, 1.001
220.000000,104.099998,   -0.05200,  0.08900,NP,   DT  , 0.030, 1.001
220.000000,110.000000,    0.05400,  0.06800,NP,   DT  , 0.030, 1.001
220.000000,116.199997,    0.00900,  0.05900,NP,   DT  , 0.030, 1.001
220.000000,122.099998,    0.02200,  0.06000,NP,   DT  , 0.030, 1.001
220.000000,128.000000,   -0.13600,  0.08400,NP,   DT  , 0.030, 1.001
220.000000,135.300003,   -0.02900,  0.08000,NP,   DT  , 0.030, 1.001
220.000000,141.100006,   -0.04100,  0.05600,NP,   DT  , 0.030, 1.001
220.000000,147.000000,    0.06400,  0.06300,NP,   DT  , 0.030, 1.001
220.000000,152.500000,    0.00200,  0.13300,NP,   DT  , 0.030, 1.001
260.000000,105.400002,   -0.14300,  0.17300,NP,   DT  , 0.030, 1.000
260.000000,112.500000,   -0.14900,  0.08200,NP,   DT  , 0.030, 1.000
260.000000,120.199997,   -0.12900,  0.05900,NP,   DT  , 0.030, 1.000
260.000000,128.100006,   -0.09900,  0.05000,NP,   DT  , 0.030, 1.000
260.000000,136.100006,   -0.05700,  0.04600,NP,   DT  , 0.030, 1.000
260.000000,144.000000,    0.03400,  0.04600,NP,   DT  , 0.030, 1.000
260.000000,151.899994,    0.01500,  0.05200,NP,   DT  , 0.030, 1.000
260.000000,159.000000,    0.08500,  0.07400,NP,   DT  , 0.030, 1.000
260.000000,104.400002,    0.24900,  0.19200,NP,   DT  , 0.030, 1.000
260.000000,112.300003,   -0.04800,  0.12500,NP,   DT  , 0.030, 1.000
