energy,scattering_angle,experimental_value,statistical_error,reaction_type,observable,systematic_error,normalization
260.000000,104.000000,   -0.16300,  0.43600,NP,   NNKK, 0.024, 1.000
260.000000,112.000000,   -0.35200,  0.19700,NP,   NNKK, 0.024, 1.000
260.000000,120.000000,   -0.07600,  0.14700,NP,   NNKK, 0.024, 1.000
260.000000,128.000000,    0.02100,  0.12900,NP,   NNKK, 0.024, 1.000
260.000000,136.000000,   -0.21200,  0.12200,NP,   NNKK, 0.024, 1.000
260.000000,144.000000,    0.11100,  0.12500,NP,   NNKK, 0.024, 1.000
260.000000,152.000000,    0.00700,  0.14300,NP,   NNKK, 0.024, 1.000
260.000000,160.000000,    0.44200,  0.24600,NP,   NNKK, 0.024, 1.000
315.000000,104.000000,   -0.21000,  0.17400,NP,   NNKK, 0.019, 1.000
315.000000,112.000000,   -0.23100,  0.11400,NP,   NNKK, 0.019, 1.000
315.000000,120.000000,   -0.31100,  0.09800,NP,   NNKK, 0.019, 1.000
315.000000,128.000000,   -0.21600,  0.09000,NP,   NNKK, 0.019, 1.000
315.000000,136.000000,   -0.27500,  0.08600,NP,   NNKK, 0.019, 1.000
315.000000,144.000000,   -0.17100,  0.08600,NP,   NNKK, 0.019, 1.000
315.000000,152.000000,   -0.17200,  0.10100,NP,   NNKK, 0.019, 1.000
315.000000,162.000000,   -0.04500,  0.17200,NP,   NNKK, 0.019, 1.000
