energy,scattering_angle,experimental_value,statistical_error,reaction_type,observable,systematic_error,normalization
260.000000, 96.000000,    0.09500,  0.30700,NP,   NSKN, 0.024, 1.000
260.000000,104.000000,    0.17100,  0.19100,NP,   NSKN, 0.024, 1.000
260.000000,112.000000,    0.06200,  0.14800,NP,   NSKN, 0.024, 1.000
260.000000,120.000000,    0.14200,  0.42200,NP,   NSKN, 0.024, 1.000
260.000000,104.000000,    0.00000,  0.26600,NP,   NSKN, 0.024, 1.000
260.000000,112.000000,    0.17500,  0.12900,NP,   NSKN, 0.024, 1.000
260.000000,120.000000,    0.23800,  0.10000,NP,   NSKN, 0.024, 1.000
260.000000,128.000000,    0.35200,  0.08900,NP,   NSKN, 0.024, 1.000
260.000000,136.000000,    0.24300,  0.08400,NP,   NSKN, 0.024, 1.000
260.000000,144.000000,    0.36800,  0.08500,NP,   NSKN, 0.024, 1.000
260.000000,152.000000,    0.25400,  0.10000,NP,   NSKN, 0.024, 1.000
260.000000,160.000000,    0.25800,  0.18600,NP,   NSKN, 0.024, 1.000
315.000000, 88.000000,   -0.18900,  0.20100,NP,   NSKN, 0.019, 1.000
315.000000, 96.000000,    0.03300,  0.14100,NP,   NSKN, 0.019, 1.000
315.000000,104.000000,    0.06300,  0.11200,NP,   NSKN, 0.019, 1.000
315.000000,112.000000,    0.04300,  0.09800,NP,   NSKN, 0.019, 1.000
315.000000,120.000000,    0.13700,  0.30200,NP,   NSKN, 0.019, 1.000
315.000000,104.000000,    0.11300,  0.11200,NP,   NSKN, 0.019, 1.000
315.000000,112.000000,    0.02700,  0.07900,NP,   NSKN, 0.019, 1.000
315.000000,120.000000,    0.15800,  0.07000,NP,   NSKN, 0.019, 1.000
315.000000,128.000000,    0.10800,  0.06500,NP,   NSKN, 0.019, 1.000
315.000000,136.000000,    0.31500,  0.06200,NP,   NSKN, 0.019, 1.000
315.000000,144.000000,    0.37500,  0.06300,NP,   NSKN, 0.019, 1.000
315.000000,152.000000,    0.17000,  0.07400,NP,   NSKN, 0.019, 1.000
315.000000,162.000000,    0.11200,  0.13500,NP,   NSKN, 0.019, 1.000
