energy,scattering_angle,experimental_value,statistical_error,reaction_type,observable,systematic_error,normalization
  7.600000, 65.800003,    0.00720,  0.00080,NP,   P   , 0.030, 1.016
  7.600000, 90.599998,    0.00410,  0.00060,NP,   P   , 0.030, 1.016
  7.600000,108.000000,    0.00390,  0.00070,NP,   P   , 0.030, 1.016
  7.600000,124.800003,    0.00350,  0.00060,NP,   P   , 0.030, 1.016
 10.030000, 44.500000,    0.01019,  0.00098,NP,   P   , 0.040, 0.969
 10.030000, 68.199997,    0.01304,  0.00085,NP,   P   , 0.040, 0.969
 10.030000, 81.199997,    0.01055,  0.00086,NP,   P   , 0.040, 0.969
 10.030000, 92.400002,    0.01047,  0.00096,NP,   P   , 0.040, 0.969
 10.030000,100.000000,    0.01042,  0.00091,NP,   P   , 0.040, 0.969
 10.030000,103.800003,    0.00694,  0.00098,NP,   P   , 0.040, 0.969
 10.030000,118.400002,    0.00674,  0.00097,NP,   P   , 0.040, 0.969
 10.030000,127.400002,    0.00358,  0.00106,NP,   P   , 0.040, 0.969
 10.030000,128.199997,    0.00390,  0.00120,NP,   P   , 0.040, 0.969
 10.030000,141.199997,    0.00330,  0.00100,NP,   P   , 0.040, 0.969
 10.030000,155.899994,    0.00110,  0.00100,NP,   P   , 0.040, 0.969
 10.030000,165.300003,    0.00000,  0.00180,NP,   P   , 0.040, 0.969
 11.000000, 90.000000,    0.01300,  0.00500,NP,   P   , 0.000, 0.999
 12.000000, 32.599998,    0.00854,  0.00066,NP,   P   , 0.015, 1.000
 12.000000, 40.500000,    0.01231,  0.00061,NP,   P   , 0.015, 1.000
 12.000000, 48.500000,    0.01451,  0.00061,NP,   P   , 0.015, 1.000
 12.000000, 56.500000,    0.01443,  0.00059,NP,   P   , 0.015, 1.000
 12.000000, 64.400002,    0.01560,  0.00059,NP,   P   , 0.015, 1.000
 12.000000, 72.400002,    0.01659,  0.00062,NP,   P   , 0.015, 1.000
 12.000000, 80.500000,    0.01470,  0.00056,NP,   P   , 0.015, 1.000
 12.000000, 88.400002,    0.01386,  0.00053,NP,   P   , 0.015, 1.000
 12.000000, 96.300003,    0.01198,  0.00056,NP,   P   , 0.015, 1.000
 12.000000,104.199997,    0.01110,  0.00055,NP,   P   , 0.015, 1.000
 12.000000,112.199997,    0.00662,  0.00061,NP,   P   , 0.015, 1.000
 12.000000,120.199997,    0.00558,  0.00064,NP,   P   , 0.015, 1.000
