energy,scattering_angle,experimental_value,statistical_error,reaction_type,observable,systematic_error,normalization
203.000000,139.000000,   -0.56800,  0.11600,NP,   RT  , 0.140, 1.000
203.000000,148.800003,   -0.89200,  0.05700,NP,   RT  , 0.140, 1.000
203.000000,158.899994,   -0.87000,  0.06600,NP,   RT  , 0.140, 1.000
203.000000,169.199997,   -0.50500,  0.09000,NP,   RT  , 0.140, 1.000
203.000000,179.199997,   -0.25200,  0.08900,NP,   RT  , 0.140, 1.000
220.000000,161.000000,   -0.94000,  0.12000,NP,   RT  , 0.030, 1.000
220.000000, 97.559998,   -0.17700,  0.20700,NP,   RT  , 0.030, 1.071
220.000000,105.980003,   -0.30100,  0.08300,NP,   RT  , 0.030, 1.071
220.000000,115.900002,   -0.19800,  0.05000,NP,   RT  , 0.030, 1.071
220.000000,124.900002,   -0.36100,  0.03900,NP,   RT  , 0.030, 1.071
220.000000,135.630005,   -0.54600,  0.03600,NP,   RT  , 0.030, 1.071
220.000000,144.360001,   -0.64400,  0.03200,NP,   RT  , 0.030, 1.071
220.000000,152.539993,   -0.85500,  0.08200,NP,   RT  , 0.030, 1.071
225.000000,160.970001,   -0.79000,  0.02500,NP,   RT  , 0.030, 1.000
228.000000,160.899994,   -0.79000,  0.03640,NP,   RT  , 0.000, 1.000
260.000000,105.400002,    0.36200,  0.21500,NP,   RT  , 0.030, 1.000
260.000000,112.500000,   -0.16600,  0.09800,NP,   RT  , 0.030, 1.000
260.000000,120.199997,    0.01000,  0.07000,NP,   RT  , 0.030, 1.000
260.000000,128.100006,   -0.21900,  0.05900,NP,   RT  , 0.030, 1.000
260.000000,136.100006,   -0.43000,  0.05300,NP,   RT  , 0.030, 1.000
260.000000,144.000000,   -0.65500,  0.05200,NP,   RT  , 0.030, 1.000
260.000000,151.899994,   -0.65500,  0.06000,NP,   RT  , 0.030, 1.000
260.000000,159.000000,   -0.76400,  0.09200,NP,   RT  , 0.030, 1.000
260.000000, 96.000000,    0.02300,  0.20200,NP,   RT  , 0.024, 1.000
260.000000,104.000000,    0.03700,  0.12700,NP,   RT  , 0.024, 1.000
260.000000,112.000000,   -0.20800,  0.09900,NP,   RT  , 0.024, 1.000
260.000000,120.000000,    0.13300,  0.27800,NP,   RT  , 0.024, 1.000
260.000000,104.000000,    0.12500,  0.22700,NP,   RT  , 0.024, 1.000
260.000000,112.000000,   -0.11100,  0.11000,NP,   RT  , 0.024, 1.000
260.000000,120.000000,   -0.13800,  0.08600,NP,   RT  , 0.024, 1.000
260.000000,128.000000,   -0.34300,  0.07700,NP,   RT  , 0.024, 1.000
260.000000,136.000000,   -0.38800,  0.07200,NP,   RT  , 0.024, 1.000
260.000000,144.000000,   -0.79700,  0.07400,NP,   RT  , 0.024, 1.000
260.000000,152.000000,   -0.89100,  0.08600,NP,   RT  , 0.024, 1.000
260.000000,160.000000,   -0.82000,  0.15700,NP,   RT  , 0.024, 1.000
315.000000, 80.000000,    0.00400,  0.34600,NP,   RT  , 0.019, 1.000
315.000000, 88.000000,    0.02300,  0.12900,NP,   RT  , 0.019, 1.000
315.000000, 96.000000,    0.09500,  0.08900,NP,   RT  , 0.019, 1.000
315.000000,104.000000,    0.12900,  0.07200,NP,   RT  , 0.019, 1.000
315.000000,112.000000,   -0.01000,  0.06300,NP,   RT  , 0.019, 1.000
315.000000,120.000000,   -0.25400,  0.19500,NP,   RT  , 0.019, 1.000
315.000000,104.000000,   -0.00400,  0.09200,NP,   RT  , 0.019, 1.000
315.000000,112.000000,    0.10900,  0.06600,NP,   RT  , 0.019, 1.000
315.000000,120.000000,   -0.03600,  0.05900,NP,   RT  , 0.019, 1.000
315.000000,128.000000,   -0.25100,  0.05400,NP,   RT  , 0.019, 1.000
315.000000,136.000000,   -0.38900,  0.05200,NP,   RT  , 0.019, 1.000
315.000000,144.000000,   -0.57200,  0.05200,NP,   RT  , 0.019, 1.000
315.000000,152.000000,   -0.66600,  0.06100,NP,   RT  , 0.019, 1.000
315.000000,162.000000,   -0.92300,  0.10800,NP,   RT  , 0.019, 1.000
318.000000,105.099998,    0.15000,  0.08100,NP,   RT  , 0.030, 1.000
318.000000,112.199997,    0.02700,  0.05400,NP,   RT  , 0.030, 1.000
318.000000,120.099998,   -0.06900,  0.04700,NP,   RT  , 0.030, 1.000
318.000000,128.100006,   -0.20400,  0.04300,NP,   RT  , 0.030, 1.000
318.000000,136.100006,   -0.38200,  0.03900,NP,   RT  , 0.030, 1.000
318.000000,144.000000,   -0.50000,  0.03800,NP,   RT  , 0.030, 1.000
318.000000,151.800003,   -0.72800,  0.04300,NP,   RT  , 0.030, 1.000
318.000000,159.000000,   -0.80600,  0.06600,NP,   RT  , 0.030, 1.000
325.000000,160.500000,   -0.75000,  0.10000,NP,   RT  , 0.030, 1.000
325.000000, 76.849998,   -0.28800,  0.09700,NP,   RT  , 0.030, 1.002
325.000000, 85.309998,   -0.01000,  0.05400,NP,   RT  , 0.030, 1.002
325.000000, 95.230003,    0.09300,  0.04500,NP,   RT  , 0.030, 1.002
325.000000,105.080002,    0.07700,  0.03900,NP,   RT  , 0.030, 1.002
325.000000,114.529999,    0.09000,  0.04200,NP,   RT  , 0.030, 1.002
325.000000,125.029999,   -0.18800,  0.04400,NP,   RT  , 0.030, 1.002
325.000000,135.570007,   -0.37000,  0.03500,NP,   RT  , 0.030, 1.002
325.000000,144.509995,   -0.61100,  0.03200,NP,   RT  , 0.030, 1.002
325.000000,153.500000,   -0.72200,  0.04900,NP,   RT  , 0.030, 1.002
332.500000,160.500000,   -0.80500,  0.02600,NP,   RT  , 0.030, 1.000
337.000000,160.500000,   -0.78700,  0.03053,NP,   RT  , 0.000, 1.000
343.000000,141.699997,   -0.15000,  0.28000,NP,   RT  , 0.000, 1.000
343.000000,147.500000,   -0.41000,  0.21000,NP,   RT  , 0.000, 1.000
343.000000,160.500000,   -0.77000,  0.13000,NP,   RT  , 0.000, 1.000
343.000000,167.000000,   -0.55000,  0.13000,NP,   RT  , 0.000, 1.000
