energy,scattering_angle,experimental_value,statistical_error,reaction_type,observable,systematic_error,normalization
  0.000001,  0.000000,20436.00000, 23.00000,NP,   SGT , 0.000, 1.000
  0.000100,  0.000000,20491.00000, 14.00000,NP,   SGT , 0.000, 1.000
  0.000400,  0.000000,20436.00000, 23.00000,NP,   SGT , 0.000, 1.000
  0.001970,  0.000000,20130.00000, 30.00000,NP,   SGT , 0.000, 1.000
  0.023645,  0.000000,17732.00000, 23.00000,NP,   SGT , 0.000, 1.000
  0.060000,  0.000000,15400.00000,462.00000,NP,   SGT , 0.000,-1.000
  0.075000,  0.000000,14200.00000,426.00000,NP,   SGT , 0.000,-1.000
  0.090000,  0.000000,13000.00000,390.00000,NP,   SGT , 0.000,-1.000
  0.120000,  0.000000,12050.00000,121.00000,NP,   SGT , 0.000,-1.000
  0.550000,  0.000000, 5950.00000,179.00000,NP,   SGT , 0.000,-1.000
  0.155000,  0.000000,10780.00000,120.00000,NP,   SGT , 0.000, 1.000
  0.165000,  0.000000,10640.00000,120.00000,NP,   SGT , 0.000, 1.000
  0.175000,  0.000000,10360.00000,120.00000,NP,   SGT , 0.000, 1.000
  0.185000,  0.000000,10050.00000,120.00000,NP,   SGT , 0.000, 1.000
  0.195000,  0.000000, 9930.00000,120.00000,NP,   SGT , 0.000, 1.000
  0.205000,  0.000000, 9580.00000,140.00000,NP,   SGT , 0.000, 1.000
  0.215000,  0.000000, 9420.00000,140.00000,NP,   SGT , 0.000, 1.000
  0.225000,  0.000000, 9240.00000,140.00000,NP,   SGT , 0.000, 1.000
  0.235000,  0.000000, 9050.00000,140.00000,NP,   SGT , 0.000, 1.000
  0.245000,  0.000000, 8850.00000,140.00000,NP,   SGT , 0.000, 1.000
  0.255000,  0.000000, 8640.00000,130.00000,NP,   SGT , 0.000, 1.000
  0.265000,  0.000000, 8610.00000,130.00000,NP,   SGT , 0.000, 1.000
  0.275000,  0.000000, 8430.00000,130.00000,NP,   SGT , 0.000, 1.000
  0.285000,  0.000000, 8310.00000,130.00000,NP,   SGT , 0.000, 1.000
  0.295000,  0.000000, 8010.00000,130.00000,NP,   SGT , 0.000, 1.000
  0.305000,  0.000000, 8120.00000,130.00000,NP,   SGT , 0.000, 1.000
  0.315000,  0.000000, 7920.00000,130.00000,NP,   SGT , 0.000, 1.000
  0.325000,  0.000000, 7720.00000,130.00000,NP,   SGT , 0.000, 1.000
  0.335000,  0.000000, 7490.00000,170.00000,NP,   SGT , 0.000, 1.000
  0.345000,  0.000000, 7420.00000,110.00000,NP,   SGT , 0.000, 1.000
  0.355000,  0.000000, 7490.00000,110.00000,NP,   SGT , 0.000, 1.000
  0.365000,  0.000000, 7210.00000,110.00000,NP,   SGT , 0.000, 1.000
  0.375000,  0.000000, 7300.00000,110.00000,NP,   SGT , 0.000, 1.000
  0.385000,  0.000000, 7290.00000,110.00000,NP,   SGT , 0.000, 1.000
  0.395000,  0.000000, 6990.00000,150.00000,NP,   SGT , 0.000, 1.000
  0.405000,  0.000000, 6900.00000,110.00000,NP,   SGT , 0.000, 1.000
  0.415000,  0.000000, 6940.00000,100.00000,NP,   SGT , 0.000, 1.000
  0.425000,  0.000000, 6880.00000,100.00000,NP,   SGT , 0.000, 1.000
  0.435000,  0.000000, 6860.00000,100.00000,NP,   SGT , 0.000, 1.000
  0.445000,  0.000000, 6770.00000,100.00000,NP,   SGT , 0.000, 1.000
  0.455000,  0.000000, 6610.00000,100.00000,NP,   SGT , 0.000, 1.000
  0.465000,  0.000000, 6596.00000, 95.00000,NP,   SGT , 0.000, 1.000
  0.475000,  0.000000, 6416.00000, 93.00000,NP,   SGT , 0.000, 1.000
  0.485000,  0.000000, 6303.00000, 92.00000,NP,   SGT , 0.000, 1.000
  0.495000,  0.000000, 6300.00000,100.00000,NP,   SGT , 0.000, 1.000
  0.505000,  0.000000, 6210.00000,110.00000,NP,   SGT , 0.000, 1.000
  0.515000,  0.000000, 6210.00000,110.00000,NP,   SGT , 0.000, 1.000
  0.525000,  0.000000, 6140.00000,110.00000,NP,   SGT , 0.000, 1.000
  0.535000,  0.000000, 6110.00000,110.00000,NP,   SGT , 0.000, 1.000
