energy,scattering_angle,experimental_value,statistical_error,reaction_type,observable,systematic_error,normalization
  4.980000,  0.000000,   94.00000, 10.80000,NP,   SGTL, 0.000,-1.000
  7.430000,  0.000000,  -13.40000,  1.80000,NP,   SGTL, 0.000,-1.000
 10.700000,  0.000000,  -42.20000,  5.90000,NP,   SGTL, 0.000,-1.000
 14.600000,  0.000000,  -51.50000,  4.60000,NP,   SGTL, 0.000,-1.000
 17.100000,  0.000000,  -39.90000,  6.60000,NP,   SGTL, 0.000,-1.000
 19.700001,  0.000000,  -32.80000,  7.20000,NP,   SGTL, 0.000,-1.000
 16.200001,  0.000000,  -55.00000, 21.00000,NP,   SGTL, 0.000, 1.000
 66.000000,  0.000000,  -26.50000,  2.00000,NP,   SGTL, 0.000, 1.064
180.000000,  0.000000,  -31.09998,  9.61000,NP,   SGTL, 0.000,-0.980
225.000000,  0.000000,  -26.59998,  3.76000,NP,   SGTL, 0.000,-0.980
277.000000,  0.000000,  -22.09998,  2.95000,NP,   SGTL, 0.000,-0.980
295.000000,  0.000000,  -20.67200,  5.00000,NP,   SGTL, 0.005,-1.000
328.000000,  0.000000,  -16.75000,  5.00000,NP,   SGTL, 0.005,-1.000
312.000000,  0.000000,  -21.71000,  5.94000,NP,   SGTL, 0.000, 1.000
332.000000,  0.000000,  -17.89998,  2.04000,NP,   SGTL, 0.000,-0.980
