energy,scattering_angle,experimental_value,statistical_error,reaction_type,observable,systematic_error,normalization
  3.650000,  0.000000,  253.70000, 38.70000,NP,   SGTT, 0.000,-1.000
  4.420000,  0.000000,   44.70000, 34.70000,NP,   SGTT, 0.000,-1.000
  4.910000,  0.000000,   41.00000, 33.80000,NP,   SGTT, 0.000,-1.000
  5.210000,  0.000000,  -38.30000, 23.80000,NP,   SGTT, 0.000,-1.000
  5.810000,  0.000000,  -25.80000, 29.20000,NP,   SGTT, 0.000,-1.000
  6.250000,  0.000000,  -66.10000, 20.20000,NP,   SGTT, 0.000,-1.000
  7.430000,  0.000000, -129.00000, 11.90000,NP,   SGTT, 0.000,-1.000
  9.570000,  0.000000, -137.70000, 10.90000,NP,   SGTT, 0.000,-1.000
 11.600000,  0.000000, -147.20000, 11.50000,NP,   SGTT, 0.000,-1.000
 10.700000,  0.000000, -140.39999,  7.00000,NP,   SGTT, 0.000,-1.000
 14.600000,  0.000000, -143.00000,  7.20000,NP,   SGTT, 0.000,-1.000
 17.100000,  0.000000, -123.90000,  6.70000,NP,   SGTT, 0.000,-1.000
 16.200001,  0.000000, -126.00000, 25.00000,NP,   SGTT, 0.000, 1.000
180.000000,  0.000000,   -6.90000,  9.33000,NP,   SGTT, 0.000,-0.950
225.000000,  0.000000,    2.20000,  4.56000,NP,   SGTT, 0.000,-0.950
277.000000,  0.000000,    3.80000,  2.68000,NP,   SGTT, 0.000,-0.950
295.000000,  0.000000,   -5.32100,  5.00000,NP,   SGTT, 0.005,-1.000
328.000000,  0.000000,   -5.35300,  5.00000,NP,   SGTT, 0.005,-1.000
332.000000,  0.000000,    6.80000,  2.06000,NP,   SGTT, 0.000,-0.950
