energy,scattering_angle,experimental_value,statistical_error,reaction_type,observable,systematic_error,normalization
 25.680000, 40.250000,    0.07000,  0.00800,PP,   A   , 0.013, 1.000
 25.680000, 60.340000,    0.11400,  0.01200,PP,   A   , 0.013, 1.000
 27.600000, 23.200001,    0.01200,  0.03000,PP,   A   , 0.030, 1.000
 27.600000, 39.000000,    0.03700,  0.02500,PP,   A   , 0.030, 1.000
 27.600000, 54.599998,    0.09000,  0.02200,PP,   A   , 0.030, 1.000
 47.500000, 23.500000,   -0.06100, -0.03100,PP,   A   , 0.050, 1.000
 47.500000, 39.000000,   -0.01100,  0.03400,PP,   A   , 0.050, 1.000
 47.500000, 54.700001,   -0.00900,  0.02500,PP,   A   , 0.050, 1.000
 47.500000, 71.300003,    0.08800,  0.02700,PP,   A   , 0.050, 1.000
 47.500000, 87.099998,    0.16600,  0.02200,PP,   A   , 0.050, 1.000
 47.799999, 23.500000,    0.01700,  0.04400,PP,   A   , 0.050, 1.000
 47.799999, 39.000000,   -0.00100,  0.03800,PP,   A   , 0.050, 1.000
 47.799999, 54.700001,    0.00000,  0.03300,PP,   A   , 0.050, 1.000
 47.799999, 71.300003,    0.08400,  0.02900,PP,   A   , 0.050, 1.000
 47.799999, 87.099998,    0.22300,  0.02800,PP,   A   , 0.050, 1.000
139.000000, 31.100000,   -0.36800,  0.02900,PP,   A   , 0.040, 1.000
139.000000, 41.400002,   -0.34400,  0.02900,PP,   A   , 0.040, 1.000
139.000000, 51.700001,   -0.31100,  0.03300,PP,   A   , 0.040, 1.000
139.000000, 61.900002,   -0.23100,  0.04600,PP,   A   , 0.040, 1.000
139.000000, 72.000000,   -0.18700,  0.05500,PP,   A   , 0.040, 1.000
139.000000, 82.099998,   -0.09900,  0.07900,PP,   A   , 0.040, 1.000
143.000000, 32.200001,   -0.40500,  0.03200,PP,   A   , 0.000, 1.000
143.000000, 43.200001,   -0.37700,  0.03700,PP,   A   , 0.000, 1.000
143.000000, 54.599998,   -0.34200,  0.05000,PP,   A   , 0.000, 1.000
143.000000, 65.000000,   -0.35500,  0.07500,PP,   A   , 0.000, 1.000
143.000000, 74.800003,   -0.19800,  0.07900,PP,   A   , 0.000, 1.000
143.000000, 84.800003,    0.02200,  0.15400,PP,   A   , 0.000, 1.000
197.800003,  9.920000,   -0.01100,  0.01400,PP,   A   , 0.020, 1.000
197.800003, 15.110000,   -0.22700,  0.01400,PP,   A   , 0.020, 1.000
197.800003, 20.230000,   -0.30200,  0.01400,PP,   A   , 0.020, 1.000
197.800003, 24.750000,   -0.36900,  0.01200,PP,   A   , 0.020, 1.000
197.800003, 31.940001,   -0.41600,  0.01200,PP,   A   , 0.020, 1.000
213.000000, 80.000000,    0.16700,  0.09500,PP,   A   , 0.000, 1.000
213.000000, 90.000000,    0.08500,  0.13500,PP,   A   , 0.000, 1.000
213.000000, 30.000000,   -0.40200,  0.01800,PP,   A   , 0.020, 1.000
213.000000, 40.000000,   -0.32200,  0.01700,PP,   A   , 0.020, 1.000
