energy,scattering_angle,experimental_value,statistical_error,reaction_type,observable,systematic_error,normalization
 11.400000, 90.000000,   -0.98400,  0.01000,PP,   AXX , 1.000,-1.000
 19.200001, 90.000000,   -0.96600,  0.01900,PP,   AXX , 1.000,-1.000
 23.500000, 90.000000,   -0.93000,  0.02400,PP,   AXX , 1.000,-1.000
 26.500000, 90.000000,   -0.90600,  0.01300,PP,   AXX , 1.000,-1.000
 37.230000, 90.000000,   -0.87400,  0.01600,PP,   AXX , 0.000, 1.000
 46.900002, 90.000000,   -0.85000,  0.01500,PP,   AXX , 0.000, 1.000
 47.500000, 90.000000,   -0.71300,  0.03200,PP,   AXX , 0.100, 1.000
197.399994,  7.400000,   -0.20400,  0.16400,PP,   AXX , 0.025, 1.000
197.399994,  9.500000,   -0.12800,  0.05400,PP,   AXX , 0.025, 1.000
197.399994, 11.600000,   -0.46000,  0.03100,PP,   AXX , 0.025, 1.000
197.399994, 13.700000,   -0.53900,  0.02200,PP,   AXX , 0.025, 1.000
197.399994, 15.800000,   -0.57900,  0.02000,PP,   AXX , 0.025, 1.000
197.399994, 17.900000,   -0.54100,  0.01800,PP,   AXX , 0.025, 1.000
197.399994, 20.000000,   -0.53800,  0.01700,PP,   AXX , 0.025, 1.000
197.399994, 22.000000,   -0.48200,  0.01600,PP,   AXX , 0.025, 1.000
197.399994, 24.100000,   -0.43900,  0.01500,PP,   AXX , 0.025, 1.000
197.399994, 26.200001,   -0.47500,  0.01400,PP,   AXX , 0.025, 1.000
197.399994, 28.299999,   -0.43300,  0.01400,PP,   AXX , 0.025, 1.000
197.399994, 30.400000,   -0.42100,  0.01300,PP,   AXX , 0.025, 1.000
197.399994, 32.500000,   -0.42700,  0.01300,PP,   AXX , 0.025, 1.000
197.399994, 34.599998,   -0.44500,  0.01300,PP,   AXX , 0.025, 1.000
197.399994, 36.700001,   -0.45600,  0.01200,PP,   AXX , 0.025, 1.000
197.399994, 38.799999,   -0.50200,  0.01200,PP,   AXX , 0.025, 1.000
197.399994, 40.799999,   -0.51700,  0.01200,PP,   AXX , 0.025, 1.000
197.399994, 42.900002,   -0.52800,  0.01300,PP,   AXX , 0.025, 1.000
197.399994, 45.000000,   -0.57100,  0.01300,PP,   AXX , 0.025, 1.000
197.399994, 47.099998,   -0.59200,  0.01300,PP,   AXX , 0.025, 1.000
197.399994, 49.099998,   -0.61200,  0.01400,PP,   AXX , 0.025, 1.000
197.399994, 51.200001,   -0.63200,  0.01400,PP,   AXX , 0.025, 1.000
197.399994, 53.299999,   -0.66800,  0.01500,PP,   AXX , 0.025, 1.000
197.399994, 55.299999,   -0.69600,  0.01600,PP,   AXX , 0.025, 1.000
197.399994, 57.400002,   -0.74100,  0.01600,PP,   AXX , 0.025, 1.000
197.399994, 59.400002,   -0.72900,  0.01700,PP,   AXX , 0.025, 1.000
197.399994, 61.500000,   -0.77200,  0.01800,PP,   AXX , 0.025, 1.000
197.399994, 63.500000,   -0.79300,  0.01900,PP,   AXX , 0.025, 1.000
197.399994, 65.599998,   -0.83100,  0.01800,PP,   AXX , 0.025, 1.000
197.399994, 67.599998,   -0.84900,  0.01700,PP,   AXX , 0.025, 1.000
197.399994, 69.699997,   -0.85200,  0.01600,PP,   AXX , 0.025, 1.000
197.399994, 71.699997,   -0.87300,  0.01500,PP,   AXX , 0.025, 1.000
197.399994, 73.699997,   -0.89200,  0.01400,PP,   AXX , 0.025, 1.000
197.399994, 75.800003,   -0.89500,  0.01300,PP,   AXX , 0.025, 1.000
197.399994, 77.800003,   -0.91500,  0.01300,PP,   AXX , 0.025, 1.000
197.399994, 79.800003,   -0.90800,  0.01200,PP,   AXX , 0.025, 1.000
197.399994, 81.800003,   -0.91100,  0.01100,PP,   AXX , 0.025, 1.000
197.399994, 83.800003,   -0.91700,  0.01100,PP,   AXX , 0.025, 1.000
197.399994, 85.900002,   -0.91800,  0.01100,PP,   AXX , 0.025, 1.000
197.399994, 87.900002,   -0.92900,  0.01000,PP,   AXX , 0.025, 1.000
197.399994, 89.900002,   -0.94800,  0.01400,PP,   AXX , 0.025, 1.000
197.800003,  9.460000,   -0.25520,  0.02160,PP,   AXX , 0.024, 1.000
197.800003, 11.560000,   -0.47450,  0.01520,PP,   AXX , 0.024, 1.000
197.800003, 13.660000,   -0.60260,  0.01380,PP,   AXX , 0.024, 1.000
197.800003, 15.760000,   -0.57810,  0.01270,PP,   AXX , 0.024, 1.000
197.800003, 17.860001,   -0.54990,  0.01180,PP,   AXX , 0.024, 1.000
197.800003, 19.959999,   -0.51380,  0.01110,PP,   AXX , 0.024, 1.000
197.800003, 22.049999,   -0.47630,  0.01050,PP,   AXX , 0.024, 1.000
197.800003, 24.150000,   -0.45720,  0.01000,PP,   AXX , 0.024, 1.000
197.800003, 26.240000,   -0.44930,  0.00970,PP,   AXX , 0.024, 1.000
197.800003, 28.330000,   -0.43480,  0.00940,PP,   AXX , 0.024, 1.000
197.800003, 30.420000,   -0.43830,  0.00920,PP,   AXX , 0.024, 1.000
197.800003, 32.509998,   -0.43190,  0.00910,PP,   AXX , 0.024, 1.000
197.800003, 34.590000,   -0.44810,  0.00970,PP,   AXX , 0.024, 1.000
197.800003, 36.680000,   -0.45300,  0.01320,PP,   AXX , 0.024, 1.000
250.000000,  7.400000,   -0.09020,  0.05650,PP,   AXX , 0.024, 1.000
250.000000,  9.600000,   -0.25130,  0.06010,PP,   AXX , 0.024, 1.000
250.000000, 11.700000,   -0.37770,  0.05680,PP,   AXX , 0.024, 1.000
250.000000, 13.800000,   -0.52570,  0.04100,PP,   AXX , 0.024, 1.000
250.000000, 16.000000,   -0.49900,  0.03690,PP,   AXX , 0.024, 1.000
250.000000, 18.100000,   -0.46140,  0.03400,PP,   AXX , 0.024, 1.000
250.000000, 20.200001,   -0.48340,  0.03180,PP,   AXX , 0.024, 1.000
250.000000, 22.299999,   -0.44760,  0.02990,PP,   AXX , 0.024, 1.000
250.000000, 24.400000,   -0.43340,  0.02860,PP,   AXX , 0.024, 1.000
250.000000, 26.600000,   -0.41320,  0.02740,PP,   AXX , 0.024, 1.000
250.000000, 28.700001,   -0.41410,  0.02630,PP,   AXX , 0.024, 1.000
250.000000, 30.799999,   -0.42430,  0.02550,PP,   AXX , 0.024, 1.000
250.000000, 32.900002,   -0.43150,  0.02480,PP,   AXX , 0.024, 1.000
250.000000, 35.000000,   -0.43270,  0.02430,PP,   AXX , 0.024, 1.000
250.000000, 37.099998,   -0.47250,  0.02380,PP,   AXX , 0.024, 1.000
250.000000, 39.200001,   -0.48180,  0.02340,PP,   AXX , 0.024, 1.000
250.000000, 41.299999,   -0.48750,  0.02360,PP,   AXX , 0.024, 1.000
250.000000, 43.400002,   -0.50800,  0.02400,PP,   AXX , 0.024, 1.000
250.000000, 45.500000,   -0.56760,  0.02440,PP,   AXX , 0.024, 1.000
250.000000, 47.599998,   -0.58570,  0.02480,PP,   AXX , 0.024, 1.000
250.000000, 49.700001,   -0.61780,  0.02540,PP,   AXX , 0.024, 1.000
250.000000, 51.799999,   -0.62770,  0.02620,PP,   AXX , 0.024, 1.000
250.000000, 53.799999,   -0.69750,  0.02700,PP,   AXX , 0.024, 1.000
