energy,scattering_angle,experimental_value,statistical_error,reaction_type,observable,systematic_error,normalization
  9.570000, 90.000000,   -0.97800,  0.01200,PP,   AYY , 0.000, 1.000
 11.400000, 90.000000,   -0.96000,  0.01600,PP,   AYY , 1.000,-1.000
 19.200001, 90.000000,   -0.85700,  0.01800,PP,   AYY , 1.000,-1.000
 23.500000, 90.000000,   -0.77800,  0.02000,PP,   AYY , 1.000,-1.000
 26.500000, 90.000000,   -0.72500,  0.01100,PP,   AYY , 1.000,-1.000
 20.000000, 75.000000,   -0.91000,  0.05000,PP,   AYY , 0.000, 1.000
 27.000000, 90.000000,   -0.68900,  0.07000,PP,   AYY , 0.000, 1.000
 37.230000, 90.000000,   -0.51100,  0.01300,PP,   AYY , 0.000, 1.000
 46.900002, 90.000000,   -0.27500,  0.01000,PP,   AYY , 0.000, 1.000
 47.500000, 90.000000,   -0.28700,  0.03900,PP,   AYY , 0.100, 1.000
 52.000000, 90.000000,   -0.03400,  0.09500,PP,   AYY , 0.000, 1.000
 73.500000, 90.000000,    0.25000,  0.06100,PP,   AYY , 0.000, 1.000
 98.000000, 90.000000,    0.69000,  0.05300,PP,   AYY , 0.000, 1.000
143.000000, 60.000000,    0.83000,  0.06500,PP,   AYY , 0.000, 1.000
143.000000, 90.000000,    1.00000,  0.05000,PP,   AYY , 0.000, 1.000
197.399994,  7.400000,    0.13400,  0.16400,PP,   AYY , 0.025, 1.000
197.399994,  9.500000,    0.02700,  0.05400,PP,   AYY , 0.025, 1.000
197.399994, 11.600000,   -0.14600,  0.03100,PP,   AYY , 0.025, 1.000
197.399994, 13.700000,   -0.20400,  0.02200,PP,   AYY , 0.025, 1.000
197.399994, 15.800000,   -0.18400,  0.02000,PP,   AYY , 0.025, 1.000
197.399994, 17.900000,   -0.14600,  0.01800,PP,   AYY , 0.025, 1.000
197.399994, 20.000000,   -0.08900,  0.01700,PP,   AYY , 0.025, 1.000
197.399994, 22.000000,   -0.01600,  0.01600,PP,   AYY , 0.025, 1.000
197.399994, 24.100000,    0.10600,  0.01500,PP,   AYY , 0.025, 1.000
197.399994, 26.200001,    0.19300,  0.01400,PP,   AYY , 0.025, 1.000
197.399994, 28.299999,    0.26200,  0.01400,PP,   AYY , 0.025, 1.000
197.399994, 30.400000,    0.31100,  0.01300,PP,   AYY , 0.025, 1.000
197.399994, 32.500000,    0.41900,  0.01300,PP,   AYY , 0.025, 1.000
197.399994, 34.599998,    0.48200,  0.01300,PP,   AYY , 0.025, 1.000
197.399994, 36.700001,    0.54800,  0.01200,PP,   AYY , 0.025, 1.000
197.399994, 38.799999,    0.59600,  0.01200,PP,   AYY , 0.025, 1.000
197.399994, 40.799999,    0.66000,  0.01200,PP,   AYY , 0.025, 1.000
197.399994, 42.900002,    0.72500,  0.01300,PP,   AYY , 0.025, 1.000
197.399994, 45.000000,    0.72700,  0.01300,PP,   AYY , 0.025, 1.000
197.399994, 47.099998,    0.82600,  0.01300,PP,   AYY , 0.025, 1.000
197.399994, 49.099998,    0.85300,  0.01400,PP,   AYY , 0.025, 1.000
197.399994, 51.200001,    0.86000,  0.01400,PP,   AYY , 0.025, 1.000
197.399994, 53.299999,    0.87700,  0.01500,PP,   AYY , 0.025, 1.000
197.399994, 55.299999,    0.87400,  0.01600,PP,   AYY , 0.025, 1.000
197.399994, 57.400002,    0.89200,  0.01600,PP,   AYY , 0.025, 1.000
197.399994, 59.400002,    0.90900,  0.01700,PP,   AYY , 0.025, 1.000
197.399994, 61.500000,    0.95500,  0.01800,PP,   AYY , 0.025, 1.000
197.399994, 63.500000,    0.97000,  0.01900,PP,   AYY , 0.025, 1.000
197.399994, 65.599998,    0.94400,  0.01800,PP,   AYY , 0.025, 1.000
197.399994, 67.599998,    0.95400,  0.01700,PP,   AYY , 0.025, 1.000
197.399994, 69.699997,    0.97400,  0.01600,PP,   AYY , 0.025, 1.000
197.399994, 71.699997,    0.94900,  0.01500,PP,   AYY , 0.025, 1.000
197.399994, 73.699997,    0.95100,  0.01400,PP,   AYY , 0.025, 1.000
197.399994, 75.800003,    0.97600,  0.01300,PP,   AYY , 0.025, 1.000
197.399994, 77.800003,    0.96400,  0.01300,PP,   AYY , 0.025, 1.000
197.399994, 79.800003,    0.97300,  0.01200,PP,   AYY , 0.025, 1.000
197.399994, 81.800003,    0.95900,  0.01100,PP,   AYY , 0.025, 1.000
197.399994, 83.800003,    0.95600,  0.01100,PP,   AYY , 0.025, 1.000
197.399994, 85.900002,    0.97300,  0.01100,PP,   AYY , 0.025, 1.000
197.399994, 87.900002,    0.95300,  0.01000,PP,   AYY , 0.025, 1.000
197.399994, 89.900002,    0.94200,  0.01400,PP,   AYY , 0.025, 1.000
197.800003,  9.460000,    0.00690,  0.02160,PP,   AYY , 0.024, 1.000
197.800003, 11.560000,   -0.17400,  0.01500,PP,   AYY , 0.024, 1.000
197.800003, 13.660000,   -0.23260,  0.01360,PP,   AYY , 0.024, 1.000
197.800003, 15.760000,   -0.21520,  0.01250,PP,   AYY , 0.024, 1.000
197.800003, 17.860001,   -0.16610,  0.01160,PP,   AYY , 0.024, 1.000
