energy,scattering_angle,experimental_value,statistical_error,reaction_type,observable,systematic_error,normalization
197.399994,  7.400000,    0.03900,  0.15600,PP,   AZX , 0.025, 1.000
197.399994,  9.500000,    0.07000,  0.05300,PP,   AZX , 0.025, 1.000
197.399994, 11.600000,    0.06800,  0.03100,PP,   AZX , 0.025, 1.000
197.399994, 13.700000,    0.12900,  0.02200,PP,   AZX , 0.025, 1.000
197.399994, 15.800000,    0.20600,  0.01900,PP,   AZX , 0.025, 1.000
197.399994, 17.900000,    0.23400,  0.01800,PP,   AZX , 0.025, 1.000
197.399994, 20.000000,    0.25900,  0.01600,PP,   AZX , 0.025, 1.000
197.399994, 22.000000,    0.33600,  0.01500,PP,   AZX , 0.025, 1.000
197.399994, 24.100000,    0.35100,  0.01400,PP,   AZX , 0.025, 1.000
197.399994, 26.200001,    0.42300,  0.01400,PP,   AZX , 0.025, 1.000
197.399994, 28.299999,    0.44300,  0.01300,PP,   AZX , 0.025, 1.000
197.399994, 30.400000,    0.47800,  0.01300,PP,   AZX , 0.025, 1.000
197.399994, 32.500000,    0.52000,  0.01300,PP,   AZX , 0.025, 1.000
197.399994, 34.599998,    0.51200,  0.01200,PP,   AZX , 0.025, 1.000
197.399994, 36.700001,    0.53700,  0.01200,PP,   AZX , 0.025, 1.000
197.399994, 38.799999,    0.54200,  0.01200,PP,   AZX , 0.025, 1.000
197.399994, 40.799999,    0.54700,  0.01200,PP,   AZX , 0.025, 1.000
197.399994, 42.900002,    0.55700,  0.01200,PP,   AZX , 0.025, 1.000
197.399994, 45.000000,    0.54000,  0.01300,PP,   AZX , 0.025, 1.000
197.399994, 47.099998,    0.53600,  0.01300,PP,   AZX , 0.025, 1.000
197.399994, 49.099998,    0.52500,  0.01300,PP,   AZX , 0.025, 1.000
197.399994, 51.200001,    0.50300,  0.01400,PP,   AZX , 0.025, 1.000
197.399994, 53.299999,    0.49600,  0.01500,PP,   AZX , 0.025, 1.000
197.399994, 55.299999,    0.49200,  0.01500,PP,   AZX , 0.025, 1.000
197.399994, 57.400002,    0.43800,  0.01600,PP,   AZX , 0.025, 1.000
