energy,scattering_angle,experimental_value,statistical_error,reaction_type,observable,systematic_error,normalization
197.399994, 11.600000,    0.26700,  0.07800,PP,   AZZ , 0.020, 1.000
197.399994, 13.700000,    0.06300,  0.04100,PP,   AZZ , 0.020, 1.000
197.399994, 15.800000,   -0.05600,  0.03300,PP,   AZZ , 0.020, 1.000
197.399994, 17.900000,   -0.03200,  0.02700,PP,   AZZ , 0.020, 1.000
197.399994, 20.000000,   -0.03700,  0.02400,PP,   AZZ , 0.020, 1.000
197.399994, 22.000000,    0.01400,  0.02300,PP,   AZZ , 0.020, 1.000
197.399994, 24.100000,    0.06700,  0.02200,PP,   AZZ , 0.020, 1.000
197.399994, 26.200001,    0.13000,  0.02100,PP,   AZZ , 0.020, 1.000
197.399994, 28.299999,    0.20000,  0.02000,PP,   AZZ , 0.020, 1.000
197.399994, 30.400000,    0.29800,  0.01900,PP,   AZZ , 0.020, 1.000
197.399994, 32.500000,    0.34100,  0.01900,PP,   AZZ , 0.020, 1.000
197.399994, 34.599998,    0.41200,  0.01800,PP,   AZZ , 0.020, 1.000
197.399994, 36.700001,    0.46400,  0.01800,PP,   AZZ , 0.020, 1.000
197.399994, 38.799999,    0.49700,  0.01800,PP,   AZZ , 0.020, 1.000
197.399994, 40.799999,    0.55400,  0.01800,PP,   AZZ , 0.020, 1.000
197.399994, 42.900002,    0.61200,  0.01800,PP,   AZZ , 0.020, 1.000
197.399994, 45.000000,    0.66300,  0.01900,PP,   AZZ , 0.020, 1.000
197.399994, 47.099998,    0.68900,  0.01900,PP,   AZZ , 0.020, 1.000
197.399994, 49.099998,    0.73400,  0.02000,PP,   AZZ , 0.020, 1.000
197.399994, 51.200001,    0.78600,  0.02100,PP,   AZZ , 0.020, 1.000
197.399994, 53.299999,    0.79300,  0.02100,PP,   AZZ , 0.020, 1.000
197.399994, 55.299999,    0.83500,  0.02200,PP,   AZZ , 0.020, 1.000
197.399994, 57.400002,    0.85400,  0.02300,PP,   AZZ , 0.020, 1.000
197.399994, 59.400002,    0.84000,  0.02400,PP,   AZZ , 0.020, 1.000
197.399994, 61.500000,    0.89700,  0.02600,PP,   AZZ , 0.020, 1.000
197.399994, 63.500000,    0.88800,  0.02800,PP,   AZZ , 0.020, 1.000
197.399994, 65.599998,    0.85500,  0.02700,PP,   AZZ , 0.020, 1.000
197.399994, 67.599998,    0.88700,  0.02400,PP,   AZZ , 0.020, 1.000
197.399994, 69.699997,    0.93200,  0.02600,PP,   AZZ , 0.020, 1.000
197.399994, 71.699997,    0.92300,  0.02300,PP,   AZZ , 0.020, 1.000
197.399994, 73.699997,    0.88700,  0.02300,PP,   AZZ , 0.020, 1.000
197.399994, 75.800003,    0.88300,  0.02200,PP,   AZZ , 0.020, 1.000
197.399994, 77.900002,    0.91300,  0.02100,PP,   AZZ , 0.020, 1.000
197.399994, 79.800003,    0.92800,  0.02000,PP,   AZZ , 0.020, 1.000
197.399994, 81.800003,    0.85500,  0.02000,PP,   AZZ , 0.020, 1.000
197.399994, 83.800003,    0.90600,  0.01900,PP,   AZZ , 0.020, 1.000
197.399994, 85.800003,    0.92400,  0.01900,PP,   AZZ , 0.020, 1.000
197.399994, 87.900002,    0.88300,  0.01800,PP,   AZZ , 0.020, 1.000
197.399994, 89.900002,    0.89000,  0.02400,PP,   AZZ , 0.020, 1.000
302.899994, 80.000000,    0.54000,  0.06900,PP,   AZZ , 0.021,-1.000
302.899994, 82.000000,    0.49600,  0.03200,PP,   AZZ , 0.021,-1.000
302.899994, 84.000000,    0.45700,  0.02200,PP,   AZZ , 0.021,-1.000
302.899994, 86.000000,    0.48800,  0.01900,PP,   AZZ , 0.021,-1.000
302.899994, 88.000000,    0.50200,  0.01800,PP,   AZZ , 0.021,-1.000
302.899994, 90.000000,    0.49100,  0.01700,PP,   AZZ , 0.021,-1.000
302.899994, 92.000000,    0.46000,  0.01800,PP,   AZZ , 0.021,-1.000
302.899994, 94.000000,    0.42700,  0.02100,PP,   AZZ , 0.021,-1.000
302.899994, 96.000000,    0.51800,  0.02800,PP,   AZZ , 0.021,-1.000
302.899994, 98.000000,    0.56500,  0.06400,PP,   AZZ , 0.021,-1.000
