energy,scattering_angle,experimental_value,statistical_error,reaction_type,observable,systematic_error,normalization
 25.680000, 25.170000,   -0.28000,  0.00700,PP,   D   , 0.013, 1.000
 25.680000, 27.680000,   -0.27500,  0.01100,PP,   D   , 0.013, 1.000
 25.680000, 30.200001,   -0.24400,  0.00800,PP,   D   , 0.013, 1.000
 25.680000, 35.220001,   -0.19800,  0.00900,PP,   D   , 0.013, 1.000
 25.680000, 40.250000,   -0.18200,  0.00900,PP,   D   , 0.013, 1.000
 25.680000, 45.279999,   -0.14600,  0.01000,PP,   D   , 0.013, 1.000
 25.680000, 50.299999,   -0.12600,  0.01000,PP,   D   , 0.013, 1.000
 25.680000, 60.340000,   -0.12200,  0.01000,PP,   D   , 0.013, 1.000
 50.000000, 70.000000,   -0.24100,  0.07500,PP,   D   , 0.000, 1.000
 98.000000, 20.500000,    0.00000,  0.08000,PP,   D   , 0.000, 1.000
 98.000000, 30.700001,    0.00000,  0.07000,PP,   D   , 0.000, 1.000
 98.000000, 40.900002,    0.00000,  0.08000,PP,   D   , 0.000, 1.000
 98.000000, 51.099998,   -0.12000,  0.10000,PP,   D   , 0.000, 1.000
 98.000000, 61.299999,   -0.11000,  0.16000,PP,   D   , 0.000, 1.000
138.000000, 31.000000,    0.13000,  0.03000,PP,   D   , 0.000, 1.000
138.000000, 41.299999,    0.19000,  0.06000,PP,   D   , 0.000, 1.000
138.000000, 61.400002,    0.23000,  0.13000,PP,   D   , 0.000, 1.000
138.000000, 82.000000,    0.36000,  0.20000,PP,   D   , 0.000, 1.000
142.000000, 12.460000,   -0.26200,  0.06300,PP,   D   , 0.000, 1.000
142.000000, 20.760000,   -0.00800,  0.03800,PP,   D   , 0.000, 1.000
142.000000, 31.059999,    0.13700,  0.03300,PP,   D   , 0.000, 1.000
142.000000, 41.340000,    0.15600,  0.03100,PP,   D   , 0.000, 1.000
142.000000, 51.619999,    0.17800,  0.03300,PP,   D   , 0.000, 1.000
142.000000, 61.840000,    0.07600,  0.03100,PP,   D   , 0.000, 1.000
142.000000, 71.980003,    0.14700,  0.07000,PP,   D   , 0.000, 1.000
142.000000, 82.059998,    0.28600, -0.09900,PP,   D   , 0.000, 1.000
143.000000, 31.100000,    0.08200,  0.07700,PP,   D   , 0.000, 1.000
143.000000, 41.400002,    0.16200,  0.04000,PP,   D   , 0.000, 1.000
143.000000, 51.700001,    0.11000,  0.05000,PP,   D   , 0.000, 1.000
143.000000, 61.900002,    0.04500,  0.06000,PP,   D   , 0.000, 1.000
143.000000, 72.000000,    0.01900,  0.10000,PP,   D   , 0.000, 1.000
143.000000, 82.099998,   -0.03700,  0.13300,PP,   D   , 0.000, 1.000
143.000000, 92.199997,   -0.02700,  0.17000,PP,   D   , 0.000, 1.000
197.800003, 10.470000,   -0.05900,  0.01300,PP,   D   , 0.005, 1.000
197.800003, 15.130000,    0.05300,  0.01300,PP,   D   , 0.005, 1.000
197.800003, 17.690001,    0.11400,  0.01200,PP,   D   , 0.005, 1.000
197.800003, 20.540001,    0.14400,  0.01200,PP,   D   , 0.005, 1.000
197.800003, 24.730000,    0.20700,  0.01300,PP,   D   , 0.005, 1.000
197.800003, 30.730000,    0.19900,  0.01100,PP,   D   , 0.005, 1.000
197.800003, 39.310001,    0.20400,  0.01200,PP,   D   , 0.005, 1.000
197.800003, 49.740002,    0.25800,  0.01400,PP,   D   , 0.005, 1.000
197.800003, 62.090000,    0.30200,  0.01300,PP,   D   , 0.005, 1.000
197.800003, 78.370003,    0.35500,  0.02700,PP,   D   , 0.005, 1.000
209.100006, 18.910000,    0.18900,  0.02900,PP,   D   , 0.028,-1.000
209.100006, 31.420000,    0.25500,  0.03200,PP,   D   , 0.028,-1.000
209.100006, 50.230000,    0.26100,  0.03200,PP,   D   , 0.028,-1.000
213.000000, 30.000000,    0.20000,  0.01600,PP,   D   , 0.000, 1.000
213.000000, 40.000000,    0.23200,  0.02600,PP,   D   , 0.000, 1.000
213.000000, 50.000000,    0.24000,  0.01800,PP,   D   , 0.000, 1.000
213.000000, 60.000000,    0.31900,  0.02100,PP,   D   , 0.000, 1.000
213.000000, 70.000000,    0.29700,  0.03000,PP,   D   , 0.000, 1.000
213.000000, 80.000000,    0.36000,  0.07000,PP,   D   , 0.000, 1.000
213.000000, 90.000000,    0.50000,  0.18000,PP,   D   , 0.000, 1.000
241.000000, 60.000000,    0.41600,  0.08500,PP,   D   , 0.050, 1.000
241.000000, 64.000000,    0.55800,  0.05400,PP,   D   , 0.050, 1.000
241.000000, 68.000000,    0.42500,  0.04900,PP,   D   , 0.050, 1.000
241.000000, 72.000000,    0.52400,  0.05000,PP,   D   , 0.050, 1.000
241.000000, 76.000000,    0.42900,  0.05300,PP,   D   , 0.050, 1.000
241.000000, 80.000000,    0.55700,  0.05500,PP,   D   , 0.050, 1.000
241.000000, 84.000000,    0.59800,  0.05900,PP,   D   , 0.050, 1.000
241.000000, 88.000000,    0.39300,  0.07300,PP,   D   , 0.050, 1.000
310.000000, 23.100000,    0.24500,  0.07900,PP,   D   , 0.000, 1.000
310.000000, 25.799999,    0.29900,  0.05500,PP,   D   , 0.000, 1.000
310.000000, 36.500000,    0.45600,  0.08100,PP,   D   , 0.000, 1.000
310.000000, 52.000000,    0.53300,  0.06000,PP,   D   , 0.000, 1.000
310.000000, 65.199997,    0.50300,  0.04800,PP,   D   , 0.000, 1.000
310.000000, 80.500000,    0.47200,  0.06300,PP,   D   , 0.000, 1.000
312.000000,  4.320000,    0.91600,  0.06500,PP,   D   , 0.012, 1.000
312.000000,  6.480000,    0.48700,  0.09600,PP,   D   , 0.012, 1.000
312.000000,  8.640000,    0.23600,  0.11400,PP,   D   , 0.012, 1.000
312.000000, 10.800000,    0.15700,  0.10300,PP,   D   , 0.012, 1.000
312.000000, 12.950000,    0.29900,  0.09000,PP,   D   , 0.012, 1.000
312.000000, 15.110000,    0.42400,  0.08800,PP,   D   , 0.012, 1.000
312.000000, 17.260000,    0.25500,  0.07300,PP,   D   , 0.012, 1.000
312.000000, 19.410000,    0.28300,  0.06600,PP,   D   , 0.012, 1.000
312.000000, 21.559999,    0.35600,  0.06800,PP,   D   , 0.012, 1.000
312.000000, 23.709999,    0.38800,  0.06700,PP,   D   , 0.012, 1.000
312.000000, 25.260000,    0.35600,  0.07400,PP,   D   , 0.012, 1.000
312.000000, 28.000000,    0.32800,  0.06900,PP,   D   , 0.012, 1.000
312.000000, 30.670000,    0.22600,  0.10900,PP,   D   , 0.012, 1.000
324.000000, 19.410000,    0.37400,  0.02100,PP,   D   , 0.015,-1.000
324.000000, 32.240002,    0.41900,  0.01600,PP,   D   , 0.015,-1.000
324.000000, 51.430000,    0.48200,  0.01500,PP,   D   , 0.015,-1.000
341.000000, 38.000000,    0.40500,  0.07700,PP,   D   , 0.050, 1.000
341.000000, 42.000000,    0.51600,  0.03600,PP,   D   , 0.050, 1.000
341.000000, 46.000000,    0.51400,  0.02400,PP,   D   , 0.050, 1.000
341.000000, 50.000000,    0.50500,  0.02100,PP,   D   , 0.050, 1.000
341.000000, 54.000000,    0.53900,  0.02000,PP,   D   , 0.050, 1.000
341.000000, 62.000000,    0.59700,  0.01900,PP,   D   , 0.050, 1.000
341.000000, 66.000000,    0.55500,  0.02200,PP,   D   , 0.050, 1.000
341.000000, 70.000000,    0.62700,  0.03100,PP,   D   , 0.050, 1.000
341.000000, 74.000000,    0.57900,  0.02400,PP,   D   , 0.050, 1.000
341.000000, 78.000000,    0.60700,  0.02400,PP,   D   , 0.050, 1.000
