energy,scattering_angle,experimental_value,statistical_error,reaction_type,observable,systematic_error,normalization
  0.299760, 90.000000,   25.81898,  0.42400,PP,   DSG , 0.001,-1.000
  0.319760, 90.000000,   13.67500,  0.21900,PP,   DSG , 0.001,-1.000
  0.339770, 90.000000,    6.39500,  0.11000,PP,   DSG , 0.001,-1.000
  0.349770, 90.000000,    4.00900,  0.06700,PP,   DSG , 0.001,-1.000
  0.359770, 90.000000,    2.34300,  0.04200,PP,   DSG , 0.001,-1.000
  0.364770, 90.000000,    1.73600,  0.03300,PP,   DSG , 0.001,-1.000
  0.369780, 90.000000,    1.27300,  0.02500,PP,   DSG , 0.001,-1.000
  0.374780, 90.000000,    0.98600,  0.02000,PP,   DSG , 0.001,-1.000
  0.379780, 90.000000,    0.80700,  0.01500,PP,   DSG , 0.001,-1.000
  0.384780, 90.000000,    0.79400,  0.01700,PP,   DSG , 0.001,-1.000
  0.389780, 90.000000,    0.90000,  0.01800,PP,   DSG , 0.001,-1.000
  0.394360, 90.000000,    1.13200,  0.02300,PP,   DSG , 0.001,-1.000
  0.399780, 90.000000,    1.44600,  0.02600,PP,   DSG , 0.001,-1.000
  0.406790, 90.000000,    2.00200,  0.03900,PP,   DSG , 0.001,-1.000
  0.338000, 91.239998,    5.16700,  0.08500,PP,   DSG , 1.000,-1.000
  0.362000, 91.239998,    1.67000,  0.01500,PP,   DSG , 1.000,-1.000
  0.383000, 91.239998,    0.82800,  0.00900,PP,   DSG , 1.000,-1.000
  0.394000, 91.239998,    1.02200,  0.00900,PP,   DSG , 1.000,-1.000
  0.405000, 91.239998,    1.62400,  0.01400,PP,   DSG , 1.000,-1.000
  0.350030, 58.400002,  329.79999,  0.98900,PP,   DSG , 1.000,-1.000
  0.350030, 85.029999,    8.33000,  0.16700,PP,   DSG , 1.000,-1.000
  0.350030, 90.029999,    3.79000,  0.02700,PP,   DSG , 1.000,-1.000
  0.350030, 95.029999,    8.49000,  0.18700,PP,   DSG , 1.000,-1.000
  0.350090, 26.000000,14822.98047, 17.78800,PP,   DSG , 0.002, 1.000
  0.350090, 28.000000,10848.98047, 11.93400,PP,   DSG , 0.002, 1.000
  0.350090, 30.000000, 8078.97998,  9.69500,PP,   DSG , 0.002, 1.000
  0.350090, 40.000000, 2270.60010,  2.95200,PP,   DSG , 0.002, 1.000
  0.350090, 44.000000, 1451.19995,  1.74100,PP,   DSG , 0.002, 1.000
  0.350090, 48.000000,  949.70001,  1.23500,PP,   DSG , 0.002, 1.000
  0.350090, 57.599998,  352.17001,  2.99300,PP,   DSG , 0.002, 1.000
  0.350090, 59.599998,  290.38000,  1.27800,PP,   DSG , 0.002, 1.000
