energy,scattering_angle,experimental_value,statistical_error,reaction_type,observable,systematic_error,normalization
241.000000, 60.000000,    0.40500,  0.04500,PP,   DT  , 0.050, 1.000
241.000000, 64.000000,    0.44200,  0.02800,PP,   DT  , 0.050, 1.000
241.000000, 68.000000,    0.46300,  0.02500,PP,   DT  , 0.050, 1.000
241.000000, 72.000000,    0.47200,  0.02500,PP,   DT  , 0.050, 1.000
241.000000, 76.000000,    0.46900,  0.02600,PP,   DT  , 0.050, 1.000
241.000000, 80.000000,    0.48300,  0.02800,PP,   DT  , 0.050, 1.000
241.000000, 84.000000,    0.49400,  0.03000,PP,   DT  , 0.050, 1.000
241.000000, 88.000000,    0.50400,  0.03600,PP,   DT  , 0.050, 1.000
314.000000, 60.000000,    0.52700,  0.02100,PP,   DT  , 0.050, 1.000
314.000000, 64.000000,    0.52600,  0.01800,PP,   DT  , 0.050, 1.000
314.000000, 68.000000,    0.53400,  0.01700,PP,   DT  , 0.050, 1.000
314.000000, 72.000000,    0.52500,  0.01700,PP,   DT  , 0.050, 1.000
314.000000, 76.000000,    0.54900,  0.01700,PP,   DT  , 0.050, 1.000
314.000000, 80.000000,    0.54600,  0.01700,PP,   DT  , 0.050, 1.000
314.000000, 84.000000,    0.54600,  0.01800,PP,   DT  , 0.050, 1.000
314.000000, 88.000000,    0.54900,  0.02300,PP,   DT  , 0.050, 1.000
