energy,scattering_angle,experimental_value,statistical_error,reaction_type,observable,systematic_error,normalization
241.000000, 60.000000,    0.00400,  0.09500,PP,   MSKN, 0.050, 1.000
241.000000, 64.000000,    0.11700,  0.06000,PP,   MSKN, 0.050, 1.000
241.000000, 68.000000,    0.12800,  0.05500,PP,   MSKN, 0.050, 1.000
241.000000, 72.000000,    0.16000,  0.05600,PP,   MSKN, 0.050, 1.000
241.000000, 76.000000,    0.05200,  0.05700,PP,   MSKN, 0.050, 1.000
241.000000, 80.000000,    0.09900,  0.06200,PP,   MSKN, 0.050, 1.000
241.000000, 84.000000,    0.15500,  0.06700,PP,   MSKN, 0.050, 1.000
241.000000, 88.000000,    0.04900,  0.08000,PP,   MSKN, 0.050, 1.000
314.000000, 60.000000,    0.05600,  0.04000,PP,   MSKN, 0.050, 1.000
314.000000, 64.000000,    0.07000,  0.03400,PP,   MSKN, 0.050, 1.000
314.000000, 68.000000,    0.10100,  0.03300,PP,   MSKN, 0.050, 1.000
314.000000, 72.000000,    0.10300,  0.03300,PP,   MSKN, 0.050, 1.000
314.000000, 76.000000,    0.15100,  0.03200,PP,   MSKN, 0.050, 1.000
314.000000, 80.000000,    0.16800,  0.03300,PP,   MSKN, 0.050, 1.000
314.000000, 84.000000,    0.14800,  0.03400,PP,   MSKN, 0.050, 1.000
314.000000, 88.000000,    0.12100,  0.04400,PP,   MSKN, 0.050, 1.000
