energy,scattering_angle,experimental_value,statistical_error,reaction_type,observable,systematic_error,normalization
241.000000, 60.000000,    0.44100,  0.08300,PP,   MSSN, 0.050, 1.000
241.000000, 64.000000,    0.25700,  0.05100,PP,   MSSN, 0.050, 1.000
241.000000, 68.000000,    0.13200,  0.04600,PP,   MSSN, 0.050, 1.000
241.000000, 72.000000,    0.11500,  0.04600,PP,   MSSN, 0.050, 1.000
241.000000, 76.000000,    0.13400,  0.04800,PP,   MSSN, 0.050, 1.000
241.000000, 80.000000,    0.05500,  0.05100,PP,   MSSN, 0.050, 1.000
241.000000, 84.000000,    0.06000,  0.05500,PP,   MSSN, 0.050, 1.000
241.000000, 88.000000,   -0.00700,  0.06700,PP,   MSSN, 0.050, 1.000
314.000000, 60.000000,    0.25700,  0.04100,PP,   MSSN, 0.050, 1.000
314.000000, 64.000000,    0.28100,  0.03500,PP,   MSSN, 0.050, 1.000
314.000000, 68.000000,    0.21900,  0.03400,PP,   MSSN, 0.050, 1.000
314.000000, 72.000000,    0.16400,  0.03400,PP,   MSSN, 0.050, 1.000
314.000000, 76.000000,    0.14500,  0.03400,PP,   MSSN, 0.050, 1.000
314.000000, 80.000000,    0.07300,  0.03400,PP,   MSSN, 0.050, 1.000
314.000000, 84.000000,    0.01100,  0.03500,PP,   MSSN, 0.050, 1.000
314.000000, 88.000000,    0.05300,  0.04600,PP,   MSSN, 0.050, 1.000
