energy,scattering_angle,experimental_value,statistical_error,reaction_type,observable,systematic_error,normalization
  5.050000, 19.950001,   -0.00053,  0.00005,PP,   P   , 0.010, 1.000
  5.050000, 24.590000,   -0.00066,  0.00006,PP,   P   , 0.010, 1.000
  5.050000, 30.600000,   -0.00059,  0.00005,PP,   P   , 0.010, 1.000
  5.050000, 40.349998,   -0.00033,  0.00004,PP,   P   , 0.010, 1.000
  5.050000, 44.470001,   -0.00032,  0.00005,PP,   P   , 0.010, 1.000
  5.050000, 50.540001,   -0.00022,  0.00003,PP,   P   , 0.010, 1.000
  5.050000, 60.230000,   -0.00018,  0.00004,PP,   P   , 0.010, 1.000
  5.050000, 64.309998,   -0.00013,  0.00005,PP,   P   , 0.010, 1.000
  5.050000, 70.430000,   -0.00003,  0.00004,PP,   P   , 0.010, 1.000
  5.050000, 80.320000,   -0.00003,  0.00006,PP,   P   , 0.010, 1.000
  5.050000, 90.320000,    0.00004,  0.00005,PP,   P   , 0.010, 1.000
  9.600000, 36.090000,    0.00050,  0.00240,PP,   P   , 0.000, 1.000
  9.600000, 40.099998,   -0.00020,  0.00300,PP,   P   , 0.000, 1.000
  9.600000, 44.110001,    0.00090,  0.00340,PP,   P   , 0.000, 1.000
  9.600000, 48.110001,   -0.00260,  0.00370,PP,   P   , 0.000, 1.000
  9.600000, 52.119999,   -0.00570,  0.00490,PP,   P   , 0.000, 1.000
  9.850000, 15.360000,   -0.00157,  0.00005,PP,   P   , 0.010, 1.000
  9.850000, 20.469999,   -0.00211,  0.00004,PP,   P   , 0.010, 1.000
  9.850000, 25.629999,   -0.00196,  0.00004,PP,   P   , 0.010, 1.000
  9.850000, 30.639999,   -0.00148,  0.00006,PP,   P   , 0.010, 1.000
  9.850000, 35.570000,   -0.00121,  0.00004,PP,   P   , 0.010, 1.000
  9.850000, 40.520000,   -0.00088,  0.00003,PP,   P   , 0.010, 1.000
  9.850000, 45.529999,   -0.00055,  0.00005,PP,   P   , 0.010, 1.000
  9.850000, 50.540001,   -0.00044,  0.00006,PP,   P   , 0.010, 1.000
  9.850000, 55.549999,   -0.00034,  0.00005,PP,   P   , 0.010, 1.000
  9.850000, 60.430000,   -0.00026,  0.00003,PP,   P   , 0.010, 1.000
  9.850000, 65.379997,   -0.00023,  0.00005,PP,   P   , 0.010, 1.000
  9.850000, 70.559998,   -0.00007,  0.00004,PP,   P   , 0.010, 1.000
  9.850000, 75.379997,   -0.00007,  0.00004,PP,   P   , 0.010, 1.000
  9.850000, 80.389999,   -0.00007,  0.00005,PP,   P   , 0.010, 1.000
  9.850000, 90.389999,   -0.00004,  0.00005,PP,   P   , 0.010, 1.000
 10.000000, 20.000000,   -0.00194,  0.00017,PP,   P   , 0.000, 1.000
 10.000000, 30.000000,   -0.00161,  0.00015,PP,   P   , 0.000, 1.000
 10.000000, 40.000000,   -0.00065,  0.00018,PP,   P   , 0.000, 1.000
 10.000000, 50.000000,   -0.00018,  0.00015,PP,   P   , 0.000, 1.000
 10.000000, 60.000000,   -0.00025,  0.00022,PP,   P   , 0.000, 1.000
 10.000000, 70.000000,   -0.00017,  0.00014,PP,   P   , 0.000, 1.000
 10.000000, 80.000000,    0.00020,  0.00022,PP,   P   , 0.000, 1.000
 15.600000, 40.160000,    0.00370,  0.00410,PP,   P   , 0.000, 1.000
 15.600000, 44.169998,   -0.00050,  0.00270,PP,   P   , 0.000, 1.000
 15.600000, 48.180000,   -0.00040,  0.00380,PP,   P   , 0.000, 1.000
 15.600000, 90.440002,   -0.00210,  0.00330,PP,   P   , 0.000, 1.000
 16.000000, 20.080000,   -0.00430,  0.00040,PP,   P   , 0.000, 1.000
 16.000000, 23.090000,   -0.00410,  0.00020,PP,   P   , 0.000, 1.000
 16.000000, 26.100000,   -0.00350,  0.00030,PP,   P   , 0.000, 1.000
 16.000000, 30.110001,   -0.00270,  0.00020,PP,   P   , 0.000, 1.000
 16.000000, 32.119999,   -0.00180,  0.00070,PP,   P   , 0.000, 1.000
 16.000000, 36.139999,   -0.00070,  0.00080,PP,   P   , 0.000, 1.000
 16.000000, 40.150002,   -0.00100,  0.00030,PP,   P   , 0.000, 1.000
 16.000000, 50.180000,    0.00000,  0.00120,PP,   P   , 0.000, 1.000
 16.000000, 70.220001,    0.00010,  0.00070,PP,   P   , 0.000, 1.000
 16.200001, 50.200001,    0.00600,  0.00700,PP,   P   , 0.000, 1.000
