energy,scattering_angle,experimental_value,statistical_error,reaction_type,observable,systematic_error,normalization
 25.680000, 25.170000,   -0.33200,  0.00900,PP,   R   , 0.013, 1.000
 25.680000, 27.680000,   -0.33500,  0.00800,PP,   R   , 0.013, 1.000
 25.680000, 30.200001,   -0.32100,  0.01200,PP,   R   , 0.013, 1.000
 25.680000, 40.250000,   -0.26600,  0.01000,PP,   R   , 0.013, 1.000
 25.680000, 50.299999,   -0.24900,  0.01000,PP,   R   , 0.013, 1.000
 25.680000, 60.340000,   -0.24700,  0.01000,PP,   R   , 0.013, 1.000
 27.600000, 23.200001,   -0.32400,  0.05400,PP,   R   , 0.030,-1.000
 27.600000, 54.599998,   -0.24300,  0.03200,PP,   R   , 0.030,-1.000
 47.799999, 23.500000,   -0.31800,  0.04600,PP,   R   , 0.050, 1.000
 47.799999, 39.000000,   -0.32700,  0.04400,PP,   R   , 0.050, 1.000
 47.799999, 54.700001,   -0.36700,  0.03100,PP,   R   , 0.050, 1.000
 47.799999, 71.300003,   -0.43500,  0.03200,PP,   R   , 0.050, 1.000
 47.799999, 87.099998,   -0.48800,  0.03300,PP,   R   , 0.050, 1.000
 98.000000, 31.299999,   -0.22000,  0.11000,PP,   R   , 0.000, 1.000
 98.000000, 41.599998,   -0.40000,  0.10000,PP,   R   , 0.000, 1.000
 98.000000, 51.700001,   -0.39000,  0.09000,PP,   R   , 0.000, 1.000
 98.000000, 61.900002,   -0.12000,  0.13000,PP,   R   , 0.000, 1.000
 98.000000, 72.000000,   -0.18000,  0.20000,PP,   R   , 0.000, 1.000
140.000000, 31.100000,   -0.25200,  0.03000,PP,   R   , 0.000, 1.000
140.000000, 41.400002,   -0.22700,  0.02800,PP,   R   , 0.000, 1.000
140.000000, 51.700001,   -0.27100,  0.03500,PP,   R   , 0.000, 1.000
140.000000, 61.900002,   -0.14600,  0.03700,PP,   R   , 0.000, 1.000
140.000000, 72.000000,   -0.15100,  0.05500,PP,   R   , 0.000, 1.000
140.000000, 82.099998,   -0.04700,  0.08000,PP,   R   , 0.000, 1.000
142.000000, 24.000000,   -0.22400,  0.05100,PP,   R   , 0.000, 1.000
142.000000, 32.700001,   -0.20300,  0.05100,PP,   R   , 0.000, 1.000
142.000000, 45.700001,   -0.17800,  0.03100,PP,   R   , 0.000, 1.000
142.000000, 54.400002,   -0.21200,  0.04200,PP,   R   , 0.000, 1.000
142.000000, 67.199997,   -0.21300,  0.04000,PP,   R   , 0.000, 1.000
142.000000, 76.099998,   -0.14700,  0.06300,PP,   R   , 0.000, 1.000
142.000000, 84.000000,   -0.14200,  0.13600,PP,   R   , 0.000, 1.000
142.000000, 90.000000,    0.11000,  0.13100,PP,   R   , 0.000, 1.000
197.800003,  9.920000,   -0.26100,  0.01300,PP,   R   , 0.020, 1.000
197.800003, 15.110000,   -0.37400,  0.01100,PP,   R   , 0.020, 1.000
197.800003, 20.230000,   -0.30100,  0.01200,PP,   R   , 0.020, 1.000
197.800003, 24.750000,   -0.27900,  0.01300,PP,   R   , 0.020, 1.000
197.800003, 31.940001,   -0.24100,  0.01400,PP,   R   , 0.020, 1.000
209.100006, 18.910000,   -0.32400,  0.03100,PP,   R   , 0.028,-1.000
209.100006, 31.420000,   -0.20400,  0.02400,PP,   R   , 0.028,-1.000
209.100006, 50.230000,   -0.05300,  0.03200,PP,   R   , 0.028,-1.000
213.000000, 30.000000,   -0.20300,  0.01200,PP,   R   , 0.000, 1.000
213.000000, 40.000000,   -0.13300,  0.01700,PP,   R   , 0.000, 1.000
213.000000, 50.000000,   -0.04100,  0.01800,PP,   R   , 0.000, 1.000
213.000000, 60.000000,    0.07100,  0.02600,PP,   R   , 0.000, 1.000
213.000000, 70.000000,    0.14700,  0.02900,PP,   R   , 0.000, 1.000
213.000000, 80.000000,    0.24800,  0.08400,PP,   R   , 0.000, 1.000
213.000000, 90.000000,    0.25700,  0.12500,PP,   R   , 0.000, 1.000
241.000000, 60.000000,    0.18500,  0.04500,PP,   R   , 0.050, 1.000
241.000000, 64.000000,    0.19800,  0.02800,PP,   R   , 0.050, 1.000
241.000000, 68.000000,    0.26100,  0.02600,PP,   R   , 0.050, 1.000
241.000000, 72.000000,    0.29900,  0.02600,PP,   R   , 0.050, 1.000
241.000000, 76.000000,    0.31400,  0.02700,PP,   R   , 0.050, 1.000
241.000000, 80.000000,    0.37800,  0.02800,PP,   R   , 0.050, 1.000
241.000000, 84.000000,    0.38200,  0.03100,PP,   R   , 0.050, 1.000
241.000000, 88.000000,    0.39800,  0.03700,PP,   R   , 0.050, 1.000
310.000000, 22.400000,   -0.32400,  0.13900,PP,   R   , 0.000, 1.000
310.000000, 34.400002,   -0.16700,  0.08000,PP,   R   , 0.000, 1.000
