energy,scattering_angle,experimental_value,statistical_error,reaction_type,observable,systematic_error,normalization
 98.000000, 31.600000,    0.59000,  0.23000,PP,   RP  , 0.000, 1.000
 98.000000, 41.900002,    0.66000,  0.18000,PP,   RP  , 0.000, 1.000
 98.000000, 52.000000,    0.70000,  0.18000,PP,   RP  , 0.000, 1.000
 98.000000, 62.599998,    0.52000,  0.30000,PP,   RP  , 0.000, 1.000
137.500000, 43.000000,    0.56200,  0.05200,PP,   RP  , 0.000, 1.000
137.500000, 52.500000,    0.47200,  0.05400,PP,   RP  , 0.000, 1.000
137.500000, 62.000000,    0.37600,  0.06800,PP,   RP  , 0.000, 1.000
137.500000, 72.500000,    0.23800,  0.08400,PP,   RP  , 0.000, 1.000
137.500000, 82.099998,    0.25100,  0.12100,PP,   RP  , 0.000, 1.000
140.399994, 31.400000,    0.62500,  0.06200,PP,   RP  , 0.000, 1.000
140.399994, 41.700001,    0.54800,  0.06200,PP,   RP  , 0.000, 1.000
140.399994, 52.000000,    0.47000,  0.06900,PP,   RP  , 0.000, 1.000
140.399994, 61.799999,    0.34300,  0.05800,PP,   RP  , 0.000, 1.000
140.399994, 72.099998,    0.46600, -0.09500,PP,   RP  , 0.000, 1.000
140.399994, 82.199997,    0.19000,  0.17700,PP,   RP  , 0.000, 1.000
197.800003,  9.920000,    0.08200,  0.01400,PP,   RP  , 0.020, 1.000
197.800003, 15.110000,    0.32500,  0.01400,PP,   RP  , 0.020, 1.000
197.800003, 20.230000,    0.44700,  0.01400,PP,   RP  , 0.020, 1.000
197.800003, 24.750000,    0.52200,  0.01400,PP,   RP  , 0.020, 1.000
197.800003, 31.940001,    0.51400,  0.01300,PP,   RP  , 0.020, 1.000
209.100006, 31.420000,    0.47900,  0.02600,PP,   RP  , 0.028, 1.000
213.000000, 30.000000,    0.49100,  0.02500,PP,   RP  , 0.000, 1.000
213.000000, 40.000000,    0.39000,  0.02400,PP,   RP  , 0.000, 1.000
213.000000, 50.000000,    0.17700,  0.02200,PP,   RP  , 0.000, 1.000
213.000000, 80.000000,   -0.20800,  0.06800,PP,   RP  , 0.000, 1.000
213.000000, 90.000000,   -0.34000,  0.10400,PP,   RP  , 0.000, 1.000
324.000000, 32.240002,    0.28900,  0.01600,PP,   RP  , 0.015,-1.000
