 energy, k, experimental_value, sigma, rxn_type, observable
 0.23822643E+03,        0.16941729E+01,        0.38565598E+02,        0.39539356E-01, NP  ,   SGT 
 0.35918331E+02,        0.65784079E+00,        0.24983669E+03,        0.15350629E+00, NP  ,   SGT 
 0.18178479E+03,        0.14799311E+01,        0.44938652E+02,        0.39841298E-01, NP  ,   SGT 
 0.26471033E+03,        0.17858630E+01,        0.36817009E+02,        0.39068580E-01, NP  ,   SGT 
 0.11619421E+03,        0.11831913E+01,        0.64476471E+02,        0.51310215E-01, NP  ,   SGT 
 0.87242203E+02,        0.10252413E+01,        0.86579865E+02,        0.67500226E-01, NP  ,   SGT 
 0.15153592E+02,        0.42728782E+00,        0.64308301E+03,        0.20544687E+00, NP  ,   SGT 
 0.75797943E+02,        0.95563364E+00,        0.10149652E+03,        0.78999594E-01, NP  ,   SGT 
 0.31113583E+03,        0.19361444E+01,        0.34693943E+02,        0.46172768E-01, NP  ,   SGT 
 0.32255289E+03,        0.19713476E+01,        0.34286373E+02,        0.51657140E-01, NP  ,   SGT 
 0.31582928E+03,        0.19506930E+01,        0.34522427E+02,        0.48214305E-01, NP  ,   SGT 
 0.97893929E+02,        0.10860269E+01,        0.76503365E+02,        0.59974402E-01, NP  ,   SGT 
 0.29665924E+03,        0.18905653E+01,        0.35263840E+02,        0.41697875E-01, NP  ,   SGT 
 0.26043817E+03,        0.17713937E+01,        0.37065224E+02,        0.39112888E-01, NP  ,   SGT 
 0.24960387E+03,        0.17341568E+01,        0.37749500E+02,        0.39325316E-01, NP  ,   SGT 
 0.14863698E+03,        0.13382158E+01,        0.52017250E+02,        0.42962458E-01, NP  ,   SGT 
 0.11894311E+03,        0.11971054E+01,        0.63072662E+02,        0.50319422E-01, NP  ,   SGT 
 0.83812666E+01,        0.31777340E+00,        0.11019875E+04,        0.35174119E+00, NP  ,   SGT 
 0.23851698E+03,        0.16952056E+01,        0.38543362E+02,        0.39535124E-01, NP  ,   SGT 
 0.17712846E+03,        0.14608543E+01,        0.45723850E+02,        0.40040836E-01, NP  ,   SGT 
 0.92959663E+02,        0.10583029E+01,        0.80808609E+02,        0.63157573E-01, NP  ,   SGT 
 0.14310437E+03,        0.13130739E+01,        0.53631699E+02,        0.43942139E-01, NP  ,   SGT 
 0.14638718E+03,        0.13280495E+01,        0.52654541E+02,        0.43342281E-01, NP  ,   SGT 
 0.23752016E+03,        0.16916595E+01,        0.38619972E+02,        0.39549295E-01, NP  ,   SGT 
 0.13777872E+03,        0.12884092E+01,        0.55347359E+02,        0.45036774E-01, NP  ,   SGT 
 0.17050027E+03,        0.14332610E+01,        0.46941925E+02,        0.40442500E-01, NP  ,   SGT 
 0.33078864E+03,        0.19963562E+01,        0.34010937E+02,        0.56688398E-01, NP  ,   SGT 
 0.83378304E+02,        0.10022804E+01,        0.91050224E+02,        0.70916623E-01, NP  ,   SGT 
 0.14039969E+03,        0.13006063E+01,        0.54481827E+02,        0.44478700E-01, NP  ,   SGT 
 0.27196851E+03,        0.18101811E+01,        0.36420155E+02,        0.39111041E-01, NP  ,   SGT 
 0.33506157E+02,        0.63536757E+00,        0.27130243E+03,        0.15816317E+00, NP  ,   SGT 
 0.24847832E+03,        0.17302425E+01,        0.37825497E+02,        0.39349530E-01, NP  ,   SGT 
 0.21855127E+03,        0.16227043E+01,        0.40272385E+02,        0.39630096E-01, NP  ,   SGT 
 0.21717914E+03,        0.16176023E+01,        0.40408001E+02,        0.39624531E-01, NP  ,   SGT 
 0.56422245E+02,        0.82449478E+00,        0.14437279E+03,        0.10991730E+00, NP  ,   SGT 
 0.16479723E+03,        0.14090866E+01,        0.48095737E+02,        0.40911827E-01, NP  ,   SGT 
 0.24663367E+03,        0.17238081E+01,        0.37952202E+02,        0.39388441E-01, NP  ,   SGT 
 0.32772830E+03,        0.19870999E+01,        0.34111656E+02,        0.54716524E-01, NP  ,   SGT 
 0.23456352E+03,        0.16810977E+01,        0.38852699E+02,        0.39585426E-01, NP  ,   SGT 
 0.29570181E+03,        0.18875120E+01,        0.35303978E+02,        0.41492824E-01, NP  ,   SGT 
 0.22786957E+03,        0.16569366E+01,        0.39411774E+02,        0.39633371E-01, NP  ,   SGT 
 0.16341794E+03,        0.14031774E+01,        0.48390923E+02,        0.41043874E-01, NP  ,   SGT 
 0.20073421E+03,        0.15551541E+01,        0.42239983E+02,        0.39553169E-01, NP  ,   SGT 
 0.64414528E+02,        0.88095683E+00,        0.12298759E+03,        0.95289797E-01, NP  ,   SGT 
 0.15164409E+03,        0.13516849E+01,        0.51203857E+02,        0.42492945E-01, NP  ,   SGT 
 0.11289110E+03,        0.11662525E+01,        0.66280922E+02,        0.52590918E-01, NP  ,   SGT 
 0.85510956E+02,        0.10150177E+01,        0.88520424E+02,        0.68978339E-01, NP  ,   SGT 
 0.11703851E+03,        0.11874822E+01,        0.64036240E+02,        0.50998934E-01, NP  ,   SGT 
 0.11861826E+03,        0.11954695E+01,        0.63234188E+02,        0.50433148E-01, NP  ,   SGT 
 0.21027946E+03,        0.15916998E+01,        0.41128021E+02,        0.39587907E-01, NP  ,   SGT 
 0.24752174E+03,        0.17269088E+01,        0.37890865E+02,        0.39369859E-01, NP  ,   SGT 
