 E_LAB, k_cm, exp_val, sigma, rxn_type, observable
 0.12434198E+03,        0.12239724E+01,       -0.91203032E+01,        0.14814165E+00, NP  , SGTT
 0.71916847E+02,        0.93084645E+00,       -0.26516785E+02,        0.22924425E+00, NP  , SGTT
 0.20275069E+03,        0.15629457E+01,       -0.37539744E+00,        0.14205359E+00, NP  , SGTT
 0.27870544E+03,        0.18324640E+01,        0.32705657E+01,        0.17834117E+00, NP  , SGTT
 0.21415923E+03,        0.16063164E+01,        0.34884176E+00,        0.14864755E+00, NP  , SGTT
 0.18955151E+03,        0.15112153E+01,       -0.13247660E+01,        0.13514563E+00, NP  , SGTT
 0.77091194E+02,        0.96375161E+00,       -0.23718971E+02,        0.21859874E+00, NP  , SGTT
 0.27354990E+03,        0.18154362E+01,        0.30946009E+01,        0.17661496E+00, NP  , SGTT
 0.33070575E+03,        0.19961060E+01,        0.46351805E+01,        0.19764811E+00, NP  , SGTT
 0.28206409E+03,        0.18434722E+01,        0.33808093E+01,        0.17943940E+00, NP  , SGTT
 0.13132700E+03,        0.12578815E+01,       -0.78925328E+01,        0.14168632E+00, NP  , SGTT
 0.32849597E+03,        0.19894259E+01,        0.45907073E+01,        0.19658685E+00, NP  , SGTT
 0.21374335E+03,        0.16047561E+01,        0.32383519E+00,        0.14840491E+00, NP  , SGTT
 0.33660400E+03,        0.20138280E+01,        0.47486501E+01,        0.20063367E+00, NP  , SGTT
 0.20480734E+03,        0.15708528E+01,       -0.23872387E+00,        0.14322165E+00, NP  , SGTT
 0.22076569E+03,        0.16309044E+01,        0.73305804E+00,        0.15247731E+00, NP  , SGTT
 0.31976290E+02,        0.62069285E+00,       -0.73456116E+02,        0.36762193E+00, NP  , SGTT
 0.89893974E+02,        0.10407059E+01,       -0.18184273E+02,        0.19510302E+00, NP  , SGTT
 0.17404322E+02,        0.45792174E+00,       -0.11772959E+03,        0.49810088E+00, NP  , SGTT
 0.27471295E+03,        0.18192915E+01,        0.31350226E+01,        0.17700969E+00, NP  , SGTT
 0.14373682E+03,        0.13159723E+01,       -0.60229211E+01,        0.13324484E+00, NP  , SGTT
 0.12249760E+02,        0.38417271E+00,       -0.13350346E+03,        0.58349556E+00, NP  , SGTT
 0.45097542E+02,        0.73712164E+00,       -0.50431004E+02,        0.30418459E+00, NP  , SGTT
 0.25939206E+03,        0.17678323E+01,        0.25668757E+01,        0.17144531E+00, NP  , SGTT
 0.59672157E+02,        0.84790772E+00,       -0.34996941E+02,        0.25818470E+00, NP  , SGTT
 0.22258594E+03,        0.16376143E+01,        0.83477104E+00,        0.15351786E+00, NP  , SGTT
 0.27842398E+03,        0.18315386E+01,        0.32611721E+01,        0.17824835E+00, NP  , SGTT
 0.33307474E+03,        0.20032427E+01,        0.46816621E+01,        0.19882035E+00, NP  , SGTT
 0.23165401E+03,        0.16706392E+01,        0.13166268E+01,        0.15853924E+00, NP  , SGTT
 0.10273533E+03,        0.11125579E+01,       -0.14054584E+02,        0.17488097E+00, NP  , SGTT
 0.21372694E+03,        0.16046945E+01,        0.32284659E+00,        0.14839534E+00, NP  , SGTT
 0.18710350E+03,        0.15014251E+01,       -0.15158932E+01,        0.13403420E+00, NP  , SGTT
 0.34801413E+03,        0.20476756E+01,        0.49472871E+01,        0.20703925E+00, NP  , SGTT
 0.10461855E+02,        0.35503164E+00,       -0.13379909E+03,        0.62503630E+00, NP  , SGTT
 0.61863743E+02,        0.86333793E+00,       -0.33246185E+02,        0.25252572E+00, NP  , SGTT
 0.13388728E+03,        0.12700838E+01,       -0.74766116E+01,        0.13961890E+00, NP  , SGTT
 0.18652023E+03,        0.14990830E+01,       -0.15621873E+01,        0.13377982E+00, NP  , SGTT
 0.20242751E+03,        0.15616995E+01,       -0.39713323E+00,        0.14187150E+00, NP  , SGTT
 0.19781631E+03,        0.15438097E+01,       -0.71516383E+00,        0.13932864E+00, NP  , SGTT
 0.12461232E+03,        0.12253022E+01,       -0.90700521E+01,        0.14787032E+00, NP  , SGTT
