t_lab,observable,error
25.87619012,365.43326552,.17091253
11.51759639,834.73529524,.25529609
24.31894917,391.64646477,.17334135
60.44316615,132.80079794,.10225068
40.04879672,219.25037501,.14496600
46.67855010,182.00638726,.13049131
10.85928819,880.51008339,.27010507
42.21639423,205.69568909,.14028397
69.35531711,112.62586653,.08756504
41.77627420,208.32733969,.14124160
11.31317090,848.48671710,.25964739
8.80585536,1057.20052523,.33423358
65.39306364,120.79360571,.09368248
7.93017102,1153.54576008,.37234758
55.31295878,147.91765764,.11214231
1.89365031,3019.32405218,1.06427140
14.40647561,675.75804215,.21235324
68.90372133,113.50028470,.08822880
33.97817693,266.86585321,.15728909
35.25246945,255.47082079,.15483391
37.07606405,240.55583468,.15118560
33.96768537,266.96327745,.15730895
71.85283115,108.02753190,.08404754
47.71787045,177.17586556,.12821391
69.27015472,112.78971882,.08768956
39.37824295,223.76294714,.14639306
3.63615722,2038.71639842,.73585779
57.43042466,141.30170221,.10794438
31.15325433,295.48481349,.16241652
51.84434540,160.09134316,.11931874
23.59360721,404.97134478,.17452092
64.79353773,122.13343356,.09466596
70.82271315,109.87679736,.08546709
17.88463246,544.11208669,.18896882
46.75869354,181.62553741,.13031541
48.01951936,175.81673534,.12755479
21.17391579,455.55061531,.17904881
61.14541876,130.95828507,.10097399
52.17998055,158.83352119,.11861012
14.65985005,664.35929876,.20986856
65.24233428,121.12771568,.09392831
64.60217120,122.56729984,.09498308
22.55634875,425.41856734,.17631696
25.11034209,377.93880774,.17209623
21.73447814,442.90570022,.17788097
24.22814723,393.27337038,.17348657
65.82894681,119.83761099,.09297698
74.53906095,103.49478181,.08054759
61.77710465,129.34257083,.09984251
7.85917409,1162.06841180,.37578920
39.10695693,225.63473647,.14696686
53.17979061,155.19211731,.11651610
37.48397308,237.42408162,.15035021
13.04179920,743.52949890,.22885976
51.91947215,159.80821560,.11915989
60.50466214,132.63745985,.10213810
32.55373514,280.67362534,.15993095
24.44410156,389.42280933,.17314213
74.74352176,103.16595481,.08029288
59.36247125,135.73547029,.10425336
32.00015950,286.37329300,.16092688
6.98845213,1276.98009136,.42296212
7.62627490,1190.86461778,.38748520
51.93550907,159.74789670,.11912600
9.12334202,1025.83661183,.32221187
33.06183943,275.61072576,.15900151
14.51719778,670.73516324,.21124769
49.06243991,171.25917109,.12528451
18.14986968,535.90615926,.18788262
21.21266873,454.65667214,.17896493
19.30906375,502.41848953,.18383909
35.88359245,250.13275086,.15358819
43.52093431,198.22847700,.13743115
59.47285441,135.43004469,.10404672
26.97277315,348.71211241,.16922316
57.11277539,142.25843746,.10856429
56.13570030,145.27924143,.11049317
2.46195077,2595.24035229,.93526139
3.84447508,1965.65134177,.70733125
23.68233325,403.30021478,.17437394
40.33967974,217.34186734,.14434336
44.07192784,195.21669172,.13622167
74.65085937,103.31470823,.08040811
26.18900131,360.52643385,.17043123
34.76965404,259.68824887,.15577388
45.99709431,185.30325730,.13198841
55.19632463,148.29894493,.11237787
35.50143122,253.34188699,.15434476
6.16159973,1407.68657234,.47765907
46.36425989,183.51379677,.13118150
12.50741727,773.41083723,.23702535
13.53709126,717.60358825,.22220366
50.67745918,164.60967576,.12180245
63.57310875,124.95335834,.09671474
31.53014127,291.36977400,.16175869
53.67383811,153.44905993,.11549125
33.76463108,268.86091030,.15769224
66.38912956,118.63083992,.09208210
42.38480365,204.70409170,.13991679
13.00486829,745.52868790,.22938988
56.41698854,144.39731164,.10993451
3.72670647,2006.26583481,.72324817
4.36662343,1804.36593236,.64275860
24.05075324,396.48517001,.17377210
25.77993584,366.96604694,.17106074
38.67036050,228.70481927,.14788566
11.59640131,829.53983633,.25367507
.16396215,10571.38368981,2.48086712
5.32519390,1568.74220540,.54533444
67.82674131,115.64206926,.08984640
62.13504933,128.44404482,.09920855
9.71606383,971.61355980,.30200230
10.78999546,885.58971893,.27180346
49.01661144,171.45495134,.12538395
28.74420894,324.30839563,.16643629
18.17742031,535.06602401,.18777364
2.69660638,2457.94081871,.88919153
47.69899734,177.26152910,.12825518
70.50679392,110.45702412,.08591120
5.07633618,1623.82083632,.56835109
33.51985699,271.17935689,.15815133
34.30750482,263.83843870,.15666258
24.23754810,393.10440055,.17347151
12.93265811,749.46516107,.23044062
59.73323821,134.71475169,.10356115
61.10841734,131.05413590,.10104076
55.99799576,145.71468191,.11076763
30.92843464,297.98699829,.16280506
4.60838322,1738.50193954,.61583528
11.40284286,842.40523425,.25771232
53.07205305,155.57709147,.11674049
70.17297753,111.07696782,.08638496
66.28305462,118.85749230,.09225053
67.76189134,115.77363802,.08994537
23.50557966,406.64101537,.17466760
68.01940848,115.25295004,.08955343
51.59867910,161.02362524,.11983911
3.19982393,2212.27470657,.80156761
69.06909662,113.17847894,.08798474
32.49411104,281.27816701,.16003906
50.92881987,163.61683341,.12126493
34.84384142,259.03246654,.15563020
25.82235310,366.28923601,.17099541
5.55002478,1522.04285000,.52574642
30.38111228,304.23209442,.16373901
73.61473458,105.00917207,.08171948
73.85189479,104.61621217,.08141559
53.89636953,152.67572110,.11503189
45.04177624,190.10795175,.13408944
70.95640174,109.63313595,.08528039
58.12286661,139.25770850,.10660563
34.55063227,261.64103113,.15619642
2.85577153,2373.84367011,.85993538
23.00368669,416.38912358,.17552266
21.49026670,448.33983490,.17837816
52.26893996,158.50317371,.11842277
21.95069084,438.18780575,.17745424
20.92507742,461.36310600,.17959975
20.85121742,463.11282728,.17976758
55.35797663,147.77097926,.11205150
2.44399268,2606.48931830,.93894210
74.49260348,103.56980466,.08060569
17.27909065,563.68127184,.19172354
45.94914474,185.53924816,.13209382
74.89265196,102.92749466,.08010813
24.64991100,385.81250335,.17281665
