          E_LAB                 k_cm                  sgt            sigma_sgt
 0.23822643E+03       0.16941728E+01       0.38565598E+02       0.39539354E-01
 0.35918332E+02       0.65784080E+00       0.24983669E+03       0.15350629E+00
 0.18178479E+03       0.14799311E+01       0.44938651E+02       0.39841297E-01
 0.26471032E+03       0.17858631E+01       0.36817009E+02       0.39068579E-01
 0.11619421E+03       0.11831913E+01       0.64476471E+02       0.51310217E-01
 0.87242205E+02       0.10252412E+01       0.86579863E+02       0.67500229E-01
 0.15153592E+02       0.42728782E+00       0.64308302E+03       0.20544687E+00
 0.75797945E+02       0.95563366E+00       0.10149652E+03       0.78999594E-01
 0.31113582E+03       0.19361444E+01       0.34693944E+02       0.46172768E-01
 0.32255289E+03       0.19713476E+01       0.34286372E+02       0.51657139E-01
 0.31582927E+03       0.19506930E+01       0.34522425E+02       0.48214304E-01
 0.97893928E+02       0.10860269E+01       0.76503362E+02       0.59974404E-01
 0.29665925E+03       0.18905653E+01       0.35263840E+02       0.41697875E-01
 0.26043818E+03       0.17713936E+01       0.37065224E+02       0.39112889E-01
 0.24960386E+03       0.17341569E+01       0.37749500E+02       0.39325316E-01
 0.14863698E+03       0.13382158E+01       0.52017251E+02       0.42962458E-01
 0.11894311E+03       0.11971054E+01       0.63072661E+02       0.50319423E-01
 0.83812668E+01       0.31777341E+00       0.11019876E+04       0.35174118E+00
 0.23851698E+03       0.16952056E+01       0.38543362E+02       0.39535122E-01
 0.17712847E+03       0.14608543E+01       0.45723851E+02       0.40040837E-01
 0.92959660E+02       0.10583029E+01       0.80808608E+02       0.63157571E-01
 0.14310437E+03       0.13130739E+01       0.53631698E+02       0.43942138E-01
 0.14638718E+03       0.13280495E+01       0.52654541E+02       0.43342280E-01
 0.23752015E+03       0.16916595E+01       0.38619972E+02       0.39549296E-01
 0.13777872E+03       0.12884092E+01       0.55347358E+02       0.45036774E-01
 0.17050028E+03       0.14332610E+01       0.46941926E+02       0.40442502E-01
 0.33078863E+03       0.19963562E+01       0.34010935E+02       0.56688398E-01
 0.83378301E+02       0.10022804E+01       0.91050226E+02       0.70916624E-01
 0.14039969E+03       0.13006062E+01       0.54481825E+02       0.44478701E-01
 0.27196850E+03       0.18101811E+01       0.36420153E+02       0.39111040E-01
 0.33506157E+02       0.63536755E+00       0.27130244E+03       0.15816317E+00
 0.24847832E+03       0.17302425E+01       0.37825498E+02       0.39349530E-01
 0.21855127E+03       0.16227043E+01       0.40272385E+02       0.39630097E-01
 0.21717914E+03       0.16176024E+01       0.40408001E+02       0.39624532E-01
 0.56422245E+02       0.82449477E+00       0.14437278E+03       0.10991730E+00
 0.16479723E+03       0.14090866E+01       0.48095739E+02       0.40911827E-01
 0.24663367E+03       0.17238081E+01       0.37952200E+02       0.39388439E-01
 0.32772829E+03       0.19870999E+01       0.34111656E+02       0.54716524E-01
 0.23456352E+03       0.16810977E+01       0.38852698E+02       0.39585428E-01
 0.29570181E+03       0.18875120E+01       0.35303977E+02       0.41492823E-01
 0.22786957E+03       0.16569366E+01       0.39411772E+02       0.39633372E-01
 0.16341794E+03       0.14031774E+01       0.48390921E+02       0.41043874E-01
 0.20073421E+03       0.15551541E+01       0.42239984E+02       0.39553169E-01
 0.64414529E+02       0.88095685E+00       0.12298759E+03       0.95289798E-01
 0.15164409E+03       0.13516849E+01       0.51203856E+02       0.42492943E-01
 0.11289110E+03       0.11662525E+01       0.66280921E+02       0.52590917E-01
 0.85510959E+02       0.10150177E+01       0.88520427E+02       0.68978338E-01
 0.11703851E+03       0.11874822E+01       0.64036240E+02       0.50998935E-01
 0.11861826E+03       0.11954695E+01       0.63234188E+02       0.50433146E-01
 0.21027947E+03       0.15916998E+01       0.41128023E+02       0.39587909E-01
 0.24752174E+03       0.17269088E+01       0.37890866E+02       0.39369858E-01
 0.12127072E+03       0.12087618E+01       0.61947899E+02       0.49529843E-01
 0.14365250E+03       0.13155862E+01       0.53464483E+02       0.43838123E-01
 0.22891680E+03       0.16607397E+01       0.39321225E+02       0.39628941E-01
 0.77523310E+02       0.96644886E+00       0.98896652E+02       0.76982643E-01
 0.28313123E+03       0.18469563E+01       0.35863927E+02       0.39675397E-01
 0.24811051E+02       0.54674561E+00       0.38301853E+03       0.17254616E+00
 0.27422471E+03       0.18176741E+01       0.36302710E+02       0.39167161E-01
 0.11703515E+03       0.11874652E+01       0.64037973E+02       0.51000159E-01
 0.33585013E+03       0.20115716E+01       0.33848226E+02       0.60205819E-01
 0.18951972E+03       0.15110886E+01       0.43748054E+02       0.39637687E-01
 0.23511225E+03       0.16830630E+01       0.38808873E+02       0.39579406E-01
 0.27832371E+03       0.18312087E+01       0.36096018E+02       0.39337960E-01
 0.32992918E+03       0.19937610E+01       0.34039036E+02       0.56122629E-01
 0.18122835E+03       0.14776644E+01       0.45029633E+02       0.39861848E-01
 0.25356197E+03       0.17478525E+01       0.37489852E+02       0.39240041E-01
