                E_LAB                 k_cm                 sgtt           sigma_sgtt
       0.12434198E+03       0.12239724E+01      -0.91203032E+01       0.14814165E+00
       0.71916848E+02       0.93084645E+00      -0.26516784E+02       0.22924425E+00
       0.20275069E+03       0.15629457E+01      -0.37539743E+00       0.14205359E+00
       0.27870544E+03       0.18324640E+01       0.32705658E+01       0.17834116E+00
       0.21415922E+03       0.16063165E+01       0.34884175E+00       0.14864755E+00
       0.18955151E+03       0.15112153E+01      -0.13247660E+01       0.13514564E+00
       0.77091197E+02       0.96375161E+00      -0.23718972E+02       0.21859874E+00
       0.27354991E+03       0.18154363E+01       0.30946010E+01       0.17661495E+00
       0.33070575E+03       0.19961060E+01       0.46351806E+01       0.19764811E+00
       0.28206408E+03       0.18434723E+01       0.33808093E+01       0.17943940E+00
       0.13132699E+03       0.12578815E+01      -0.78925330E+01       0.14168632E+00
       0.32849598E+03       0.19894259E+01       0.45907073E+01       0.19658684E+00
       0.21374335E+03       0.16047561E+01       0.32383518E+00       0.14840491E+00
       0.33660401E+03       0.20138280E+01       0.47486499E+01       0.20063368E+00
       0.20480734E+03       0.15708528E+01      -0.23872387E+00       0.14322165E+00
       0.22076568E+03       0.16309044E+01       0.73305804E+00       0.15247731E+00
       0.31976289E+02       0.62069286E+00      -0.73456113E+02       0.36762192E+00
       0.89893978E+02       0.10407059E+01      -0.18184273E+02       0.19510302E+00
       0.17404322E+02       0.45792175E+00      -0.11772959E+03       0.49810088E+00
       0.27471294E+03       0.18192915E+01       0.31350227E+01       0.17700969E+00
       0.14373682E+03       0.13159723E+01      -0.60229213E+01       0.13324484E+00
       0.12249760E+02       0.38417270E+00      -0.13350346E+03       0.58349553E+00
       0.45097541E+02       0.73712163E+00      -0.50431002E+02       0.30418459E+00
       0.25939206E+03       0.17678323E+01       0.25668758E+01       0.17144531E+00
       0.59672159E+02       0.84790774E+00      -0.34996940E+02       0.25818469E+00
       0.22258594E+03       0.16376142E+01       0.83477101E+00       0.15351786E+00
       0.27842399E+03       0.18315385E+01       0.32611720E+01       0.17824834E+00
       0.33307473E+03       0.20032427E+01       0.46816623E+01       0.19882036E+00
